index,label,pass,prediction,read_decode,resize,normalize,patch,quantize,buffer_prep,kernel,readback,total_ms
0,0,1,0,12.219520,2.592252,0.553760,0.915490,0.677329,0.331754,0.936535,0.369643,18.743255
1,1,1,1,11.206517,2.593329,0.554579,0.801230,0.671575,0.326585,0.942301,0.393686,17.644043
2,1,1,1,10.592677,2.593575,0.553286,0.797656,0.669360,0.329415,0.940671,0.364203,16.996474
3,1,1,0,13.611274,2.590695,0.553563,0.795064,0.660332,0.328080,0.941656,0.362190,19.994382
4,1,1,1,10.415680,2.696609,0.557784,0.797188,0.665797,0.331366,0.928536,0.369484,16.919858
5,1,1,1,13.568338,2.692825,0.562012,0.799336,0.666394,0.331908,0.939964,0.368874,20.080652
6,1,1,1,13.432609,2.705329,0.561569,0.799637,0.670308,0.326092,0.942917,0.365323,19.958535
7,1,1,1,11.052333,2.589988,0.551372,0.794713,0.769169,0.332461,0.938819,0.365404,17.545219
8,1,1,1,13.316917,2.588942,0.557600,0.799717,0.778013,0.332904,0.941834,0.367883,19.835483
9,1,1,1,11.620942,2.593428,0.558978,0.796609,0.662843,0.331514,1.110418,0.403378,18.235452
10,1,1,1,11.058413,2.596043,0.556911,0.786345,0.666664,0.330726,0.941760,0.366185,17.453483
11,1,1,1,11.469736,2.692382,0.563213,0.799293,0.666929,0.335243,0.942498,0.367785,17.989717
12,1,1,1,11.169606,2.695280,0.570222,0.794960,0.669791,0.331828,0.928621,0.363938,17.675298
13,1,1,1,10.602092,2.588295,0.559932,0.796406,0.665957,0.331021,0.929926,0.394554,17.019330
14,1,1,1,11.609267,2.590203,0.560640,0.795286,0.674887,0.332633,0.943471,0.366757,18.024769
15,1,1,1,10.568197,2.695083,0.565101,0.793440,0.666960,0.332443,0.942295,0.368172,17.087661
16,1,1,1,10.456043,2.589237,0.560892,0.903016,0.673348,0.333249,0.930776,0.368117,16.970203
17,1,1,1,10.599465,2.592905,0.563588,0.800222,0.668431,0.330794,1.017403,0.389668,17.116720
18,1,1,1,11.484609,2.592424,0.560861,0.794966,0.666904,0.332677,0.943206,0.368677,17.898831
19,1,1,1,13.144572,2.597231,0.556474,0.794837,0.664794,0.331902,0.928179,0.369668,19.538419
20,1,1,1,10.493883,2.690985,0.567785,0.793293,0.669569,0.334572,0.927729,0.369846,17.005766
21,1,1,1,13.318363,2.685994,0.558807,0.789981,0.667981,0.328781,0.942800,0.366332,19.811323
22,1,1,1,11.039409,2.590363,0.559994,0.900141,0.688548,0.328960,0.940997,0.367575,17.573200
23,1,1,1,11.592658,2.592972,0.554936,0.797625,0.666430,0.333200,0.944019,0.407403,18.040923
24,1,1,1,11.130073,2.588068,0.558190,0.797329,0.662628,0.329231,0.931994,0.371213,17.523373
25,1,1,1,10.604554,2.701237,0.561224,0.794185,0.667520,0.334916,0.942345,0.369742,17.128190
26,1,1,1,10.550153,2.590831,0.558775,0.907778,0.680043,0.329292,0.927385,0.368769,17.064997
27,0,1,0,13.127982,2.597126,0.555938,0.801680,0.870006,0.330443,0.943877,0.365465,19.747403
28,1,1,1,10.528634,2.592498,0.560547,0.789138,0.667305,0.329668,0.939446,0.369464,16.931022
29,1,1,1,10.476856,2.712067,0.558646,0.799526,0.668979,0.325656,0.943397,0.368566,17.006012
30,1,1,1,12.568425,2.683427,0.564234,0.799815,0.675003,0.332123,0.925895,0.363348,19.068517
31,1,1,1,11.035065,2.594283,0.559200,0.907286,0.674277,0.331827,0.938498,0.368683,17.566991
32,1,1,1,13.390277,2.594468,0.557298,0.908960,0.679987,0.329822,0.942985,0.364178,19.923453
33,1,1,1,11.260658,2.594259,0.555969,0.800806,0.668825,0.334535,0.937920,0.401969,17.708253
