index,label,prediction,model_inference_us,kernel_us
0,0,0,1718.443,1024.584
1,1,1,1601.040,1012.259
2,1,1,1583.132,1021.298
3,1,0,1699.354,1026.800
4,1,1,1576.382,1012.418
5,1,1,1556.738,1007.028
6,1,1,1553.994,1006.474
7,1,1,1556.726,1009.803
8,1,1,1549.489,1005.360
9,1,1,1582.874,1016.498
10,1,1,1567.274,1013.520
11,1,1,1564.037,1014.419
12,1,1,1555.871,1008.332
13,1,1,1551.236,1006.474
14,1,1,1545.231,1004.985
15,1,1,1562.923,1006.812
16,1,1,1559.483,1009.311
17,1,1,1559.126,1010.831
18,1,1,1559.699,1013.883
19,1,1,1549.034,1009.618
20,1,1,1549.323,1006.585
21,1,1,1604.080,1005.945
22,1,1,1569.723,1008.991
23,1,1,1556.369,1007.766
24,1,1,1550.757,1005.336
25,1,1,1551.532,1007.618
26,1,1,1552.886,1007.809
27,0,0,1550.031,1009.391
28,1,1,1576.148,1015.643
29,1,1,1567.477,1014.308
30,1,1,1558.708,1010.031
31,1,1,1551.292,1006.837
32,1,1,1546.923,1005.803
33,1,1,1549.114,1005.262
34,0,0,1573.132,1018.327
35,1,1,1558.369,1009.840
36,0,0,1560.030,1010.917
37,1,1,1550.006,1006.265
38,1,1,1548.222,1006.597
39,1,1,1551.058,1010.806
40,0,0,1591.563,1004.283
41,1,1,1560.473,1010.492
42,1,1,1551.951,1006.739
43,0,0,1549.071,1009.255
44,1,1,1554.831,1008.886
45,1,1,1545.483,1004.393
46,1,1,1553.194,1009.194
47,1,1,1562.153,1011.305
48,1,1,1559.822,1009.815
49,1,1,1549.243,1006.634
50,1,1,1547.637,1006.984
51,1,1,1566.055,1019.686
52,1,1,1556.670,1010.234
53,1,1,1586.505,1011.114
54,1,1,1576.345,1014.511
55,1,1,1565.747,1011.625
56,1,1,1555.403,1010.111
57,0,0,1546.850,1005.299
58,1,1,1547.470,1004.099
59,1,1,1623.028,1009.274
60,1,1,1566.936,1013.741
61,0,0,1560.105,1011.187
62,1,1,1551.717,1006.129
63,0,0,1546.524,1004.628
64,1,1,1544.209,1009.188
65,0,0,1545.058,1003.809
66,1,1,1608.222,1010.917
67,0,0,1561.403,1011.661
68,1,1,1553.151,1007.877
69,1,1,1553.046,1009.693
70,1,1,1551.551,1004.880
71,1,1,1546.653,1006.215
72,1,1,1564.652,1014.504
73,1,0,1552.178,1006.277
74,1,1,1552.228,1005.976
75,1,1,1548.259,1008.468
76,0,0,1550.948,1009.236
77,1,1,1548.499,1005.033
78,1,1,1579.791,1023.889
79,1,1,1555.680,1011.723
80,0,0,1551.176,1009.735
81,0,0,1552.910,1008.812
82,1,1,1563.372,1018.892
83,1,1,1548.905,1007.403
84,1,1,1550.345,1009.144
85,1,1,1623.674,1019.588
86,0,1,1563.563,1010.800
87,1,1,1554.640,1005.705
88,1,0,1544.431,1003.858
89,1,1,1563.378,1018.468
90,1,1,1551.877,1009.668
91,1,0,1560.074,1007.181
92,1,1,1561.513,1012.967
93,1,1,1550.640,1008.701
94,1,1,1551.735,1009.366
95,1,1,1553.551,1010.812
96,1,1,1551.902,1009.200
97,1,1,1565.089,1005.471
98,1,1,1566.215,1007.194
99,1,1,1552.369,1005.662
100,1,1,1556.727,1010.812
101,1,1,1548.086,1008.111
102,1,1,1558.886,1012.996
103,1,1,1562.579,1018.295
104,1,0,1576.031,1019.699
105,1,1,1561.914,1011.754
106,1,0,1553.588,1009.674
107,1,0,1552.603,1007.070
108,1,1,1551.631,1007.532
109,1,1,1548.056,1006.609
110,0,0,1562.886,1011.526
111,1,1,1556.326,1009.310
112,1,1,1558.756,1010.449
113,1,1,1550.954,1005.674
114,1,1,1554.327,1014.911
115,1,1,1556.203,1012.289
116,1,1,1571.262,1014.110
117,0,0,1556.898,1008.104
118,1,1,1552.092,1010.738
119,1,1,1554.769,1009.970
120,1,1,1552.265,1010.154
121,1,1,1548.800,1008.911
122,1,1,1581.077,1003.551
123,1,1,1565.773,1011.790
124,0,0,1552.418,1004.702
125,1,1,1549.465,1004.898
126,1,1,1559.212,1015.871
127,1,1,1550.597,1006.849
128,1,1,1543.231,1005.397
129,0,1,1567.600,1011.348
130,0,0,1562.184,1011.483
131,1,1,1555.021,1012.037
132,1,1,1554.499,1012.326
133,1,1,1555.944,1008.474
134,0,0,1555.907,1011.784
135,1,1,1560.610,1006.671
136,1,1,1559.945,1008.856
137,1,1,1558.942,1010.523
138,0,0,1550.357,1005.741
139,1,1,1549.846,1006.467
140,0,0,1556.117,1015.508
141,1,1,1611.556,1010.332
142,1,1,1569.347,1012.049
143,1,1,1559.188,1011.748
144,1,1,1553.717,1009.323
145,1,1,1563.194,1019.692
146,1,1,1547.477,1006.781
147,1,1,1553.730,1010.419
148,1,1,1576.899,1019.778
149,1,1,1558.837,1007.613
150,1,1,1554.253,1007.687
151,1,1,1547.403,1003.181
