label,ref_logit0,ref_logit1,hw_logit0,hw_logit1,ref_pred,hw_pred,correct_ref,correct_hw,match_ref_hw,abs_error
0,0.5734554529190063,0.38993149995803833,0.330078125,0.6728515625,0,1,1,0,0,0.28292006254196167
1,-2.661864995956421,1.899086356163025,-2.248046875,1.84375,1,1,1,1,1,0.4138181209564209
1,-1.430139183998108,1.70079505443573,-1.087890625,1.54296875,1,1,1,1,1,0.3422485589981079
1,0.8206859827041626,0.28542447090148926,1.1650390625,0.205078125,0,0,0,0,1,0.3443530797958374
1,-2.107174873352051,1.915719985961914,-1.81640625,1.87890625,1,1,1,1,1,0.2907686233520508
1,-0.5467052459716797,1.0445805788040161,-0.7138671875,1.2587890625,1,1,1,1,1,0.2142084836959839
1,-0.4534201920032501,0.6490566730499268,-0.373046875,0.8193359375,1,1,1,1,1,0.17027926445007324
1,-1.6707204580307007,1.5960499048233032,-1.2685546875,1.583984375,1,1,1,1,1,0.4021657705307007
1,-0.09991811960935593,0.3460301160812378,0.13671875,0.384765625,1,1,1,1,1,0.23663687705993652
1,-1.6823583841323853,1.6699973344802856,-1.275390625,1.591796875,1,1,1,1,1,0.40696775913238525
1,-1.6707204580307007,1.5960499048233032,-1.2685546875,1.583984375,1,1,1,1,1,0.4021657705307007
1,-1.7367864847183228,1.4754365682601929,-1.3876953125,1.3916015625,1,1,1,1,1,0.34909117221832275
1,-1.5284826755523682,1.5795842409133911,-1.037109375,1.4267578125,1,1,1,1,1,0.49137330055236816
1,-1.7469396591186523,1.7317548990249634,-1.4921875,1.7470703125,1,1,1,1,1,0.25475215911865234
1,-1.2589459419250488,1.0591994524002075,-1.033203125,1.060546875,1,1,1,1,1,0.22574281692504883
1,-3.0730092525482178,2.050625801086426,-2.8056640625,2.1123046875,1,1,1,1,1,0.2673451900482178
1,-2.117426633834839,1.9426506757736206,-1.7763671875,1.8720703125,1,1,1,1,1,0.34105944633483887
1,-2.027332067489624,1.7405048608779907,-1.9462890625,1.830078125,1,1,1,1,1,0.08957326412200928
1,-0.9052751064300537,1.2754404544830322,-0.64453125,1.2041015625,1,1,1,1,1,0.2607438564300537
1,-0.1918870508670807,0.5300291180610657,-0.2119140625,0.5673828125,1,1,1,1,1,0.037353694438934326
1,-2.0050346851348877,1.9802130460739136,-1.740234375,1.9365234375,1,1,1,1,1,0.2648003101348877
1,-0.7454415559768677,0.7015479803085327,-0.5361328125,0.8173828125,1,1,1,1,1,0.20930874347686768
1,-1.6707204580307007,1.5960499048233032,-1.2685546875,1.583984375,1,1,1,1,1,0.4021657705307007
1,-1.8408300876617432,1.5386791229248047,-1.466796875,1.48046875,1,1,1,1,1,0.37403321266174316
1,-1.7784851789474487,1.4888643026351929,-1.3212890625,1.388671875,1,1,1,1,1,0.45719611644744873
1,-2.027332067489624,1.7405048608779907,-1.9462890625,1.830078125,1,1,1,1,1,0.08957326412200928
1,-1.8004740476608276,1.7970539331436157,-1.4814453125,1.791015625,1,1,1,1,1,0.31902873516082764
0,2.3539772033691406,-0.4849036931991577,2.3740234375,-0.4521484375,0,0,1,1,1,0.032755255699157715
1,-1.8004740476608276,1.7970539331436157,-1.4814453125,1.791015625,1,1,1,1,1,0.31902873516082764
1,-2.0257041454315186,1.904586672782898,-1.765625,1.8779296875,1,1,1,1,1,0.26007914543151855
1,-0.7032909393310547,1.19048011302948,-0.55859375,1.326171875,1,1,1,1,1,0.1446971893310547
1,-1.6707204580307007,1.5960499048233032,-1.2685546875,1.583984375,1,1,1,1,1,0.4021657705307007
1,-0.6701014041900635,0.6360586881637573,-0.294921875,0.615234375,1,1,1,1,1,0.3751795291900635
1,-1.4439493417739868,1.6201132535934448,-1.087890625,1.48046875,1,1,1,1,1,0.3560587167739868
0,2.3539772033691406,-0.4849036931991577,2.3740234375,-0.4521484375,0,0,1,1,1,0.032755255699157715
1,-2.069422483444214,1.5094183683395386,-1.802734375,1.5673828125,1,1,1,1,1,0.26668810844421387
0,1.7633594274520874,-0.31752556562423706,1.8076171875,-0.2607421875,0,0,1,1,1,0.05678337812423706
1,0.5816915035247803,0.4699164628982544,0.6474609375,0.572265625,0,0,0,0,1,0.1023491621017456
1,-3.089496374130249,2.1151692867279053,-2.8681640625,2.203125,1,1,1,1,1,0.22133231163024902
1,-0.03520148992538452,0.7584057450294495,0.0322265625,0.810546875,1,1,1,1,1,0.06742805242538452
0,2.4382641315460205,-0.80866539478302,2.2763671875,-0.630859375,0,0,1,1,1,0.17780601978302002
1,-1.979779839515686,1.5906473398208618,-1.5732421875,1.5166015625,1,1,1,1,1,0.40653765201568604
1,-1.8004740476608276,1.7970539331436157,-1.4814453125,1.791015625,1,1,1,1,1,0.31902873516082764
0,1.7936846017837524,-0.29167836904525757,1.9833984375,-0.3408203125,0,0,1,1,1,0.18971383571624756
1,-0.8846191167831421,0.9427064657211304,-0.6337890625,1.0283203125,1,1,1,1,1,0.2508300542831421
1,0.15241149067878723,0.16482876241207123,0.375,0.2216796875,1,0,1,0,0,0.22258850932121277
1,-2.7869224548339844,1.4881350994110107,-2.8642578125,1.8017578125,1,1,1,1,1,0.31362271308898926
1,-1.7469396591186523,1.7317548990249634,-1.4921875,1.7470703125,1,1,1,1,1,0.25475215911865234
1,-2.0775599479675293,1.9803975820541382,-1.765625,1.923828125,1,1,1,1,1,0.3119349479675293
1,-0.7454415559768677,0.7015479803085327,-0.5361328125,0.8173828125,1,1,1,1,1,0.20930874347686768
1,-3.140932559967041,2.0193262100219727,-2.9453125,2.138671875,1,1,1,1,1,0.19562005996704102
1,-0.7454415559768677,0.7015479803085327,-0.5361328125,0.8173828125,1,1,1,1,1,0.20930874347686768
1,-1.6707204580307007,1.5960499048233032,-1.2685546875,1.583984375,1,1,1,1,1,0.4021657705307007
1,-0.019527971744537354,0.7173787951469421,0.1279296875,0.7138671875,1,1,1,1,1,0.14745765924453735
1,0.19029271602630615,0.31217360496520996,0.4677734375,0.369140625,1,0,1,0,0,0.27748072147369385
1,0.34128496050834656,0.5483663082122803,0.462890625,0.634765625,1,1,1,1,1,0.12160566449165344
1,0.35805395245552063,0.4997960925102234,0.455078125,0.6015625,1,1,1,1,1,0.10176640748977661
0,1.9703816175460815,-0.9067693948745728,2.0,-0.673828125,0,0,1,1,1,0.23294126987457275
1,-1.740971326828003,1.489637017250061,-1.3642578125,1.412109375,1,1,1,1,1,0.37671351432800293
1,0.35386326909065247,0.2690972089767456,0.55859375,0.2333984375,0,0,0,0,1,0.20473048090934753
1,-2.0498058795928955,1.996787428855896,-1.6650390625,1.8916015625,1,1,1,1,1,0.3847668170928955
