sample_id,repeat_id,label,prediction,correct,buf_write,cache_flush,register_setup,kernel,output_readback,classifier,patch_embedding,weight_transfer,total_us
0,1,0,0,1,155.6670,306.0860,0.0000,1040.0990,272.3260,219.3110,0.0000,0.0000,1993.4890
1,1,1,1,1,68.4670,191.9570,0.0000,1005.8700,198.2950,141.7600,0.0000,0.0000,1606.3490
2,1,1,1,1,60.3140,168.0060,0.0000,1014.3940,191.5140,131.1270,0.0000,0.0000,1565.3550
3,1,1,0,0,59.1380,161.1130,0.0000,1012.4180,186.3880,127.3170,0.0000,0.0000,1546.3740
4,1,1,1,1,57.9940,157.4590,0.0000,1009.3600,185.0270,127.8400,0.0000,0.0000,1537.6800
5,1,1,1,1,58.8370,157.7910,0.0000,1004.6340,183.9510,127.3050,0.0000,0.0000,1532.5180
6,1,1,1,1,57.9810,156.7380,0.0000,998.6590,202.0180,135.8210,0.0000,0.0000,1551.2170
7,1,1,1,1,60.8120,162.0060,0.0000,1010.4550,186.1110,128.2460,0.0000,0.0000,1547.6300
8,1,1,1,1,59.3420,159.0960,0.0000,1012.2210,184.0120,127.5510,0.0000,0.0000,1542.2220
9,1,1,1,1,57.0340,158.4680,0.0000,1009.0280,184.5470,128.1410,0.0000,0.0000,1537.2180
10,1,1,1,1,59.6370,156.4250,0.0000,1008.4250,184.8990,125.9820,0.0000,0.0000,1535.3680
11,1,1,1,1,58.8180,156.4620,0.0000,1007.8100,182.4430,126.1660,0.0000,0.0000,1531.6990
12,1,1,1,1,57.2180,157.3360,0.0000,1009.8090,197.9330,132.8370,0.0000,0.0000,1555.1330
13,1,1,1,1,59.0710,163.2610,0.0000,1008.5780,186.7880,128.0250,0.0000,0.0000,1545.7230
14,1,1,1,1,58.4610,160.9970,0.0000,1006.3940,183.4460,125.8520,0.0000,0.0000,1535.1500
15,1,1,1,1,58.4300,158.1720,0.0000,1008.0120,184.0190,126.3510,0.0000,0.0000,1534.9840
16,1,1,1,1,59.4700,158.4930,0.0000,1009.0400,183.7170,125.4270,0.0000,0.0000,1536.1470
17,1,1,1,1,58.5360,156.1790,0.0000,1006.4430,183.3600,124.9600,0.0000,0.0000,1529.4780
18,1,1,1,1,58.8190,155.9010,0.0000,1011.3410,242.8430,131.9630,0.0000,0.0000,1600.8670
19,1,1,1,1,59.4220,163.3910,0.0000,1010.3010,185.5940,128.0430,0.0000,0.0000,1546.7510
20,1,1,1,1,57.7230,157.6740,0.0000,1005.9810,184.2470,126.1960,0.0000,0.0000,1531.8210
21,1,1,1,1,57.3230,156.7200,0.0000,1005.4950,184.7320,126.0490,0.0000,0.0000,1530.3190
22,1,1,1,1,57.0460,158.0300,0.0000,1009.3780,183.5260,127.2490,0.0000,0.0000,1535.2290
23,1,1,1,1,57.4760,155.9450,0.0000,1011.9870,182.5660,124.1350,0.0000,0.0000,1532.1090
24,1,1,1,1,59.3600,156.9600,0.0000,1009.2990,183.2610,188.0190,0.0000,0.0000,1596.8990
25,1,1,1,1,60.3690,166.6400,0.0000,1009.2250,187.8640,127.6680,0.0000,0.0000,1551.7660
26,1,1,1,1,58.8370,160.1970,0.0000,1009.2680,183.4650,126.9170,0.0000,0.0000,1538.6840
27,1,0,0,1,57.9510,158.4120,0.0000,1009.6610,185.3360,125.9380,0.0000,0.0000,1537.2980
28,1,1,1,1,57.6430,157.0770,0.0000,1007.8340,182.7940,125.9140,0.0000,0.0000,1531.2620
29,1,1,1,1,59.2430,156.0740,0.0000,1008.1360,184.2710,125.0400,0.0000,0.0000,1532.7640
30,1,1,1,1,57.5880,156.7140,0.0000,1011.7840,185.6620,125.8770,0.0000,0.0000,1537.6250
31,1,1,1,1,110.5730,163.9820,0.0000,1011.3790,189.3660,128.2220,0.0000,0.0000,1603.5220
32,1,1,1,1,57.5320,158.0620,0.0000,1007.8710,183.5750,127.3410,0.0000,0.0000,1534.3810
33,1,1,1,1,57.7230,157.8830,0.0000,1010.6890,183.9440,127.1630,0.0000,0.0000,1537.4020
34,1,0,0,1,58.2580,156.9160,0.0000,1007.4400,183.8150,125.3420,0.0000,0.0000,1531.7710
35,1,1,1,1,57.8900,158.3070,0.0000,1007.9630,184.2400,125.3470,0.0000,0.0000,1533.7470
36,1,0,0,1,58.7140,159.2070,0.0000,1004.8920,183.2310,126.6640,0.0000,0.0000,1532.7080
37,1,1,1,1,57.3850,198.7140,0.0000,1015.5510,188.9480,128.1540,0.0000,0.0000,1588.7520
38,1,1,1,1,58.8250,159.0650,0.0000,1010.8250,186.2150,125.6860,0.0000,0.0000,1540.6160
39,1,1,1,1,59.0340,157.2240,0.0000,1006.4440,184.0870,126.7820,0.0000,0.0000,1533.5710
40,1,0,0,1,59.3040,156.9660,0.0000,1008.3140,183.6370,125.3420,0.0000,0.0000,1533.5630
41,1,1,1,1,58.2640,156.7200,0.0000,1005.1690,183.3040,125.5570,0.0000,0.0000,1529.0140
