sample_id,repeat_id,label,prediction,correct,buf_write,cache_flush,register_setup,kernel,output_readback,classifier,patch_embedding,weight_transfer,total_us
0,1,0,0,1,155.5570,316.7510,0.0000,938.1230,278.8130,277.0400,0.0000,0.0000,1966.2840
1,1,1,1,1,71.4340,196.5970,0.0000,927.0210,205.2300,143.9450,0.0000,0.0000,1544.2270
2,1,1,1,1,62.7510,167.5690,0.0000,913.9500,220.6830,141.9450,0.0000,0.0000,1506.8980
3,1,1,0,0,62.6580,164.9540,0.0000,908.7390,192.7570,132.8550,0.0000,0.0000,1461.9630
4,1,1,1,1,58.6400,162.0680,0.0000,918.3880,187.3530,128.9600,0.0000,0.0000,1455.4090
5,1,1,1,1,58.0860,158.7140,0.0000,907.4580,185.9200,127.4460,0.0000,0.0000,1437.6240
6,1,1,1,1,59.3350,158.2340,0.0000,906.5170,183.1140,127.1630,0.0000,0.0000,1434.3630
7,1,1,1,1,58.8190,157.2930,0.0000,917.8210,183.4460,125.4400,0.0000,0.0000,1442.8190
8,1,1,1,1,59.8150,156.1670,0.0000,918.6280,261.2310,138.0120,0.0000,0.0000,1533.8530
9,1,1,1,1,60.8250,175.5750,0.0000,910.4300,192.6340,131.6860,0.0000,0.0000,1471.1500
10,1,1,1,1,60.4740,160.9660,0.0000,904.2520,185.8950,127.2670,0.0000,0.0000,1438.8540
11,1,1,1,1,58.3570,158.6100,0.0000,919.5870,184.7320,127.1870,0.0000,0.0000,1448.4730
12,1,1,1,1,58.0620,156.9230,0.0000,918.5910,186.2160,126.5290,0.0000,0.0000,1446.3210
13,1,1,1,1,59.2300,156.3930,0.0000,915.3230,183.7720,127.1380,0.0000,0.0000,1441.8560
14,1,1,1,1,58.9660,156.5540,0.0000,918.3510,182.5290,128.5720,0.0000,0.0000,1444.9720
15,1,1,1,1,59.4960,156.3390,0.0000,913.4030,205.6490,137.7350,0.0000,0.0000,1472.6220
16,1,1,1,1,61.8030,163.4830,0.0000,922.4370,187.8520,130.1790,0.0000,0.0000,1465.7540
