index,label,pass,prediction,buffer_write,cache_flush,register_setup,fpga_kernel,output_readback,decoder_classifier,patch_embedding,weight_transfer,total_us
0,0,1,0,146.9290,307.2560,0.0000,1046.8130,317.6990,380.8370,0.0000,0.0000,2199.5340
1,1,1,1,79.8460,218.6030,0.0000,1025.7480,232.3390,164.2700,0.0000,0.0000,1720.8060
2,1,1,1,70.2340,189.9320,0.0000,1015.6430,218.7940,152.1170,0.0000,0.0000,1646.7200
3,1,1,0,66.2160,181.0960,0.0000,1020.3200,256.7510,168.6700,0.0000,0.0000,1693.0530
4,1,1,1,70.8430,190.6210,0.0000,1015.5010,303.4400,196.6400,0.0000,0.0000,1777.0450
5,1,1,1,78.3940,225.5260,0.0000,1029.1140,264.0500,176.7330,0.0000,0.0000,1773.8170
6,1,1,1,75.0460,202.1410,0.0000,1011.3480,237.6430,178.6460,0.0000,0.0000,1704.8240
7,1,1,1,79.9760,206.5420,0.0000,1029.1690,348.1600,239.5440,0.0000,0.0000,1903.3910
8,1,1,1,83.1760,212.0980,0.0000,1095.8460,351.1880,222.5050,0.0000,0.0000,1964.8130
9,1,1,1,93.7720,283.2920,0.0000,1040.2580,268.3630,179.3790,0.0000,0.0000,1865.0640
10,1,1,1,76.9040,196.2950,0.0000,1021.8710,222.9480,159.1630,0.0000,0.0000,1677.1810
11,1,1,1,70.0500,182.1230,0.0000,1014.8670,214.7760,152.4730,0.0000,0.0000,1634.2890
12,1,1,1,65.6240,179.1880,0.0000,1015.1940,214.5230,150.7260,0.0000,0.0000,1625.2550
13,1,1,1,67.8760,179.2500,0.0000,1011.3970,218.6090,161.6670,0.0000,0.0000,1638.7990
14,1,1,1,117.9940,332.2150,0.0000,1031.2740,354.9730,207.6980,0.0000,0.0000,2044.1540
15,1,1,1,81.0160,262.2340,0.0000,1025.7420,339.7540,214.3940,0.0000,0.0000,1923.1400
16,1,1,1,99.6000,233.5750,0.0000,1038.2340,325.4150,221.9630,0.0000,0.0000,1918.7870
17,1,1,1,97.5260,232.0740,0.0000,1024.7080,287.0030,183.3730,0.0000,0.0000,1824.6840
18,1,1,1,73.4900,189.9880,0.0000,1019.3730,210.9300,149.8340,0.0000,0.0000,1643.6150
19,1,1,1,240.4490,214.0800,0.0000,1021.9630,339.6610,229.7540,0.0000,0.0000,2045.9070
20,1,1,1,96.7080,284.7510,0.0000,1047.7300,305.1560,231.5200,0.0000,0.0000,1965.8650
21,1,1,1,90.0800,236.5600,0.0000,1032.3320,312.2220,233.5450,0.0000,0.0000,1904.7390
22,1,1,1,87.3970,287.8220,0.0000,1031.3480,294.8670,226.2710,0.0000,0.0000,1927.7050
23,1,1,1,96.6890,262.9670,0.0000,1043.2930,473.1080,228.9900,0.0000,0.0000,2105.0470
24,1,1,1,92.6280,243.7970,0.0000,1041.0950,319.8030,191.4830,0.0000,0.0000,1888.8060
