sample_id,repeat_id,label,prediction,correct,buf_write,cache_flush,register_setup,kernel,output_readback,classifier,patch_embedding,weight_transfer,total_us
0,1,0,1,0,154.7070,523.8640,0.0000,1010.9350,277.5630,220.3380,0.0000,0.0000,2187.4070
1,1,1,1,1,72.6890,198.8180,0.0000,977.6550,209.0580,152.4670,0.0000,0.0000,1610.6870
2,1,1,1,1,258.4060,196.6150,0.0000,986.1230,299.3970,160.5480,0.0000,0.0000,1901.0890
3,1,1,0,0,67.0530,350.1960,0.0000,983.9630,369.0530,156.2830,0.0000,0.0000,1926.5480
4,1,1,1,1,68.1540,188.4740,0.0000,975.8460,383.2190,152.9780,0.0000,0.0000,1768.6710
5,1,1,1,1,66.3450,332.0060,0.0000,974.5350,366.8180,152.3690,0.0000,0.0000,1892.0730
6,1,1,1,1,64.2830,179.2430,0.0000,978.0250,369.0650,153.2550,0.0000,0.0000,1743.8710
7,1,1,1,1,66.5540,182.4000,0.0000,1110.4860,433.8460,158.8490,0.0000,0.0000,1952.1350
8,1,1,1,1,67.5330,191.8890,0.0000,1123.8100,382.0120,158.7760,0.0000,0.0000,1924.0200
9,1,1,1,1,66.4000,186.2400,0.0000,981.6180,220.8620,162.4560,0.0000,0.0000,1617.5760
10,1,1,1,1,66.6340,181.9810,0.0000,973.5630,216.9350,148.3750,0.0000,0.0000,1587.4880
11,1,1,1,1,63.8520,176.6520,0.0000,977.6370,354.1780,150.8120,0.0000,0.0000,1723.1310
12,1,1,1,1,66.8250,182.1530,0.0000,981.7910,221.3970,146.9970,0.0000,0.0000,1599.1630
13,1,1,1,1,65.6250,176.5780,0.0000,970.5910,217.2490,389.1010,0.0000,0.0000,1819.1440
14,1,1,1,1,68.0180,185.3720,0.0000,979.1380,225.0400,151.6740,0.0000,0.0000,1609.2420
15,1,1,1,1,65.7600,178.0370,0.0000,973.5320,202.7330,141.3850,0.0000,0.0000,1561.4470
16,1,1,1,1,63.1760,170.6890,0.0000,983.1200,220.8370,147.1440,0.0000,0.0000,1584.9660
17,1,1,1,1,65.7720,175.7040,0.0000,968.1110,224.9170,146.2090,0.0000,0.0000,1580.7130
18,1,1,1,1,63.5200,177.6730,0.0000,979.9140,391.2500,151.7720,0.0000,0.0000,1764.1290
19,1,1,1,1,100.6030,187.1200,0.0000,975.4520,224.8620,149.8580,0.0000,0.0000,1637.8950
20,1,1,1,1,66.0000,179.8210,0.0000,1051.2620,219.0220,150.4240,0.0000,0.0000,1666.5290
21,1,1,1,1,64.7320,176.4610,0.0000,985.3050,224.8740,147.2120,0.0000,0.0000,1598.5840
22,1,1,1,1,246.2640,188.0990,0.0000,970.9600,218.6460,148.2460,0.0000,0.0000,1772.2150
23,1,1,1,1,65.1880,176.5970,0.0000,1091.5750,224.1540,149.6000,0.0000,0.0000,1707.1140
24,1,1,1,1,66.8620,368.3330,0.0000,1050.2890,252.0800,160.7070,0.0000,0.0000,1898.2710
25,1,1,1,1,68.0300,354.9480,0.0000,983.3420,222.7880,151.4090,0.0000,0.0000,1780.5170
26,1,1,1,1,67.1390,352.7140,0.0000,980.1540,398.6100,150.8060,0.0000,0.0000,1949.4230
27,1,0,0,1,64.5470,184.3140,0.0000,978.4800,221.4710,149.0160,0.0000,0.0000,1597.8280
28,1,1,1,1,65.4760,176.6650,0.0000,968.7700,220.0550,292.6950,0.0000,0.0000,1723.6610
29,1,1,1,1,72.5040,184.1790,0.0000,971.1080,206.0980,186.0310,0.0000,0.0000,1619.9200
30,1,1,1,1,69.8770,326.4800,0.0000,983.4400,228.5790,304.0300,0.0000,0.0000,1912.4060
31,1,1,1,1,68.9600,187.2370,0.0000,972.4670,220.0430,147.9940,0.0000,0.0000,1596.7010
32,1,1,1,1,215.8460,186.6580,0.0000,986.1970,218.9660,279.7670,0.0000,0.0000,1887.4340
33,1,1,1,1,68.2770,182.8620,0.0000,969.2860,333.7230,152.1420,0.0000,0.0000,1706.2900
34,1,0,0,1,64.6890,179.1750,0.0000,976.4620,222.5360,148.1360,0.0000,0.0000,1590.9980
35,1,1,1,1,66.6890,177.6310,0.0000,984.2100,225.1080,146.6210,0.0000,0.0000,1600.2590
36,1,0,0,1,65.3290,179.1020,0.0000,972.5350,201.2370,141.5690,0.0000,0.0000,1559.7720
37,1,1,1,1,62.1660,167.5020,0.0000,972.2770,198.7940,137.6120,0.0000,0.0000,1538.3510
38,1,1,1,1,62.9730,168.1410,0.0000,969.7730,196.0800,135.6000,0.0000,0.0000,1532.5670
39,1,1,1,1,61.5940,165.8090,0.0000,967.2620,197.8830,136.3140,0.0000,0.0000,1528.8620
40,1,0,0,1,62.7080,167.2120,0.0000,968.2960,194.7450,136.2030,0.0000,0.0000,1529.1640
41,1,1,1,1,61.3840,167.0950,0.0000,965.9510,211.8650,142.0180,0.0000,0.0000,1548.3130
42,1,1,1,1,63.1020,171.6310,0.0000,966.0740,199.2740,138.8190,0.0000,0.0000,1538.9000
43,1,0,0,1,61.6250,167.6550,0.0000,966.8920,197.0340,136.8430,0.0000,0.0000,1530.0490
44,1,1,1,1,60.7270,166.0860,0.0000,967.3780,197.8840,137.2120,0.0000,0.0000,1529.2870
45,1,1,1,1,61.2060,167.0590,0.0000,966.1350,195.0900,137.5880,0.0000,0.0000,1527.0780
46,1,1,1,1,62.5910,166.0990,0.0000,965.7840,195.8770,136.0860,0.0000,0.0000,1526.4370
47,1,1,1,1,62.3200,167.0090,0.0000,966.7940,206.0000,141.2120,0.0000,0.0000,1543.3350
48,1,1,1,1,62.4800,170.5350,0.0000,973.0830,201.7160,135.4530,0.0000,0.0000,1543.2670
49,1,1,1,1,63.0950,166.7810,0.0000,970.8930,197.4770,137.1390,0.0000,0.0000,1535.3850
50,1,1,1,1,61.1260,166.5110,0.0000,970.4120,195.5630,136.3510,0.0000,0.0000,1529.9630
51,1,1,1,1,61.6620,164.9170,0.0000,970.4990,195.7910,135.3780,0.0000,0.0000,1528.2470
52,1,1,1,1,62.2100,166.7880,0.0000,966.6400,195.7600,134.7870,0.0000,0.0000,1526.1850
53,1,1,1,1,61.1450,167.2920,0.0000,1012.8800,204.7930,140.8800,0.0000,0.0000,1586.9900
54,1,1,1,1,65.6670,170.6960,0.0000,972.5970,197.6620,137.3050,0.0000,0.0000,1543.9270
55,1,1,1,1,61.6250,166.0180,0.0000,971.8400,195.5140,134.8670,0.0000,0.0000,1529.8640
56,1,1,1,1,59.5260,165.7660,0.0000,966.5170,197.0520,133.9690,0.0000,0.0000,1522.8300
57,1,0,0,1,61.8770,168.0620,0.0000,970.3630,196.1660,134.9720,0.0000,0.0000,1531.4400
58,1,1,1,1,60.9300,164.8680,0.0000,971.9760,196.1410,132.3510,0.0000,0.0000,1526.2660
59,1,1,1,1,62.5900,162.4680,0.0000,964.4060,250.5720,141.6430,0.0000,0.0000,1581.6790
60,1,1,1,1,62.5100,171.0770,0.0000,970.6890,199.0520,137.0830,0.0000,0.0000,1540.4110
61,1,0,0,1,61.9510,166.0060,0.0000,969.1690,197.5320,135.8400,0.0000,0.0000,1530.4980
62,1,1,1,1,62.6400,166.8120,0.0000,964.5720,196.8980,136.3510,0.0000,0.0000,1527.2730
63,1,0,0,1,61.9390,165.7480,0.0000,968.6150,196.7630,136.4800,0.0000,0.0000,1529.5450
64,1,1,1,1,59.9080,166.6460,0.0000,965.8400,196.3450,134.7260,0.0000,0.0000,1523.4650
65,1,0,0,1,61.6550,166.4120,0.0000,969.0530,195.4890,182.8070,0.0000,0.0000,1575.4160
66,1,1,1,1,63.0280,169.6000,0.0000,968.6340,199.9630,139.4700,0.0000,0.0000,1540.6950
67,1,0,0,1,61.2560,168.7570,0.0000,970.2530,197.9450,135.5450,0.0000,0.0000,1533.7560
68,1,1,1,1,61.8770,166.7940,0.0000,965.7110,194.1170,136.1850,0.0000,0.0000,1524.6840
69,1,1,1,1,61.4580,164.4250,0.0000,970.9600,194.8000,134.9840,0.0000,0.0000,1526.6270
70,1,1,1,1,62.3380,165.9260,0.0000,970.7510,194.3810,135.0460,0.0000,0.0000,1528.4420
71,1,1,1,1,61.8960,166.1170,0.0000,971.8340,194.7330,135.5940,0.0000,0.0000,1530.1740
