label,file,width,height,mode,channels,corrupted,rgb_similar
Benign,bb9f0edaaa611d248f0e433f795458cb_1.jpg,299,299,RGB,3,False,True
Benign,881197d940f7e36d5b3e6956b7ab5b4d_1.jpg,299,299,RGB,3,False,True
Benign,c929ff91649ea49c77b5f2ea6a44208b_0.jpg,299,299,RGB,3,False,True
Benign,2ed584e48c0742ca83023e21bf4a66ca_3.jpg,299,299,RGB,3,False,True
Benign,8513d021e989a32f7b7fbcde20009cca_0.jpg,299,299,RGB,3,False,True
Benign,56a876a6b8160c204669911059159ca5_0.jpg,299,299,RGB,3,False,True
Benign,9e61d7d6ad9ca1ff53bd942878ab9738_0.jpg,299,299,RGB,3,False,True
Benign,cfb58d2e123ca8f8f5d5838071e52fc7_0.jpg,299,299,RGB,3,False,True
Benign,f2341c7e8b32f26f8165ae7c6714c029_3.jpg,299,299,RGB,3,False,True
Benign,09cc054276eb24e9ddfe3b723a60d140_0.jpg,299,299,RGB,3,False,True
Benign,5beb796e72bdc45bf03264b80c95389a_1.jpg,299,299,RGB,3,False,True
Benign,bb41066e5dd7a9f6aac3ce3005fa42e1_1.jpg,299,299,RGB,3,False,True
Benign,c065ba4f35775eac2bdbbd0c36f42b8b_0.jpg,299,299,RGB,3,False,True
Benign,1993443dc4e26b4d9a1af72eff7991da_0.jpg,299,299,RGB,3,False,True
Benign,2d18c1bc310c0f44babbee3ea918fce0_0.jpg,299,299,RGB,3,False,True
Benign,ca25cc9234f690b24a707ff1dfef15fe_0.jpg,299,299,RGB,3,False,True
Benign,04a3aea14e11a617d37b958f0cfcb6f7_2.jpg,299,299,RGB,3,False,True
Benign,e34370143d97360dec232f58dd3b5954_0.jpg,299,299,RGB,3,False,True
Benign,ea627e0568eacf8aa0cec54a2a3bda70_1.jpg,299,299,RGB,3,False,True
Benign,5c8a40c04390fcfce045e0cfd90cef68_1.jpg,299,299,RGB,3,False,True
Benign,fa68064e9ef5002af5b4970ed7999a80_0.jpg,299,299,RGB,3,False,True
Benign,4f9320a6ebe8234bd3520ef8fd22b3b2_2.jpg,299,299,RGB,3,False,True
Benign,2f0d2045f9257f8451691e242bfa6623_1.jpg,299,299,RGB,3,False,True
Benign,347bcd27cffe9d758ff35a401bcf7149_0.jpg,299,299,RGB,3,False,True
Benign,972d9529eb0a8b6f0c93bf2404285f6f_0.jpg,299,299,RGB,3,False,True
Benign,2f47e9356eedf4e45e3708f2a9a5ecbd_0.jpg,299,299,RGB,3,False,True
Benign,6f5c76f5a592ead6701610777387eca6_0.jpg,299,299,RGB,3,False,True
Benign,39d8aaf2c91f97f46e5b15bed4b75d6f_0.jpg,299,299,RGB,3,False,True
Benign,e0b7e0447df7d1d21495d7e619d5a06d_0.jpg,299,299,RGB,3,False,True
Benign,da2a97f8b424014bd4461e7e3cd6bfa1_2.jpg,299,299,RGB,3,False,True
Benign,beb696f77471556de905c2abe0e73758_0.jpg,299,299,RGB,3,False,True
Benign,4b4dd06771c96084acd1d2671e73e6b2_6.jpg,299,299,RGB,3,False,True
Benign,2ce6a614dd72c97a83a9723bdb8722d1_0.jpg,299,299,RGB,3,False,True
Benign,84b3710ceca1596e7201c44b672cb554_0.jpg,299,299,RGB,3,False,True
Benign,2192e049136882349aae28d6611c164c_0.jpg,299,299,RGB,3,False,True
Benign,f7d9f6eca0db219c83b38a559897b26b_1.jpg,299,299,RGB,3,False,True
Benign,568864a0db9311cee3c1a5244660dcda_0.jpg,299,299,RGB,3,False,True
Benign,6d72a67c6521f50fdaad201d8388cd5d_0.jpg,299,299,RGB,3,False,True
Benign,1a4114ad6fad70c711574725dd49e4a7_2.jpg,299,299,RGB,3,False,False
Benign,adfeecbe9d230c1482df0316b1189197_0.jpg,299,299,RGB,3,False,True
Benign,9f07cbaf13702c14d69d4d48d735d29b_2.jpg,299,299,RGB,3,False,True
Benign,6ac43a7851f10c3a03a6d4aaa0791c3c_0.jpg,299,299,RGB,3,False,False
Benign,8727773ae14150581d4d7e46a00a47b8_0.jpg,299,299,RGB,3,False,True
Benign,1445202bed0d4b2763b16312318ee2cf_1.jpg,299,299,RGB,3,False,True
Benign,ef64489bedb5c460875e7263891fc0bc_0.jpg,299,299,RGB,3,False,True
Benign,723384dede0f4367eecec0c1f0fc5121_0.jpg,299,299,RGB,3,False,True
Benign,1165fc363f0de20853e75ae7990238ac_0.jpg,299,299,RGB,3,False,True
Benign,4855caaf34e45db3c8caadad86cd5931_0.jpg,299,299,RGB,3,False,True
Benign,90d2f563bb2696432cc5cfacd7229866_0.jpg,299,299,RGB,3,False,True
Benign,8a479346aa2f3ba27eb67b7d30ac5718_0.jpg,299,299,RGB,3,False,True
Benign,c484c31721d41b8460a6f3f5b8bdaef4_0.jpg,299,299,RGB,3,False,True
Benign,581c91d8151a6a75501226b066ed80fa_1.jpg,299,299,RGB,3,False,True
Benign,0660c388f5af10d479e6bd5cf4bffca2_0.jpg,299,299,RGB,3,False,True
Benign,4b4dd06771c96084acd1d2671e73e6b2_4.jpg,299,299,RGB,3,False,True
Benign,d54368a5d78715e8884d5701e8ab9f8d_0.jpg,299,299,RGB,3,False,True
Benign,21674bcdbdb5eb32749dc7c280517cc7_2.jpg,299,299,RGB,3,False,True
Benign,96735729ac1f4967bcbe1c1126cd21b5_0.jpg,299,299,RGB,3,False,True
Benign,6a5eb36e84b47c591566d16eabda46e9_0.jpg,299,299,RGB,3,False,True
Benign,423379b4c51e35fe4df570c6961df7cb_0.jpg,299,299,RGB,3,False,True
Benign,6ead432967a1c3023facec93ee548b33_1.jpg,299,299,RGB,3,False,True
Benign,d936382a9abdac58868c205174f6d4a1_0.jpg,299,299,RGB,3,False,True
Benign,6343526ed15cba372c609b0293357640_0.jpg,299,299,RGB,3,False,True
Benign,8bd1cfecf78026338a671e794a34f9bb_0.jpg,299,299,RGB,3,False,True
Benign,c289657294dcef92b95f56a200614f21_1.jpg,299,299,RGB,3,False,True
Benign,8ff9b0b4d0e6c92d04666f2c0be9c759_1.jpg,299,299,RGB,3,False,True
Benign,3f904a6e7d5edc0bc79aa6ad2ae65c87_0.jpg,299,299,RGB,3,False,True
Benign,dc6b81302e9e848f4f1963faea2d7ee5_0.jpg,299,299,RGB,3,False,True
Benign,efe5aca32c539ee1b477229528b66764_2.jpg,299,299,RGB,3,False,False
Benign,dcee167d15a635478dcd174aadb2dbba_0.jpg,299,299,RGB,3,False,True
Benign,37d5f8d0bd0a540286376464dc8951f1_0.jpg,299,299,RGB,3,False,True
Benign,7dcb942fabbe91c64d58a722b3ff8fc2_0.jpg,299,299,RGB,3,False,True
Benign,2ed584e48c0742ca83023e21bf4a66ca_0.jpg,299,299,RGB,3,False,True
Benign,a3a96535cbe99ed779068a0f3d336b67_2.jpg,299,299,RGB,3,False,True
Benign,f6b831a959dac0362d30d047f2ee55b5_0.jpg,299,299,RGB,3,False,True
Benign,c1e5f05dcd085746b0650d5d168e8461_0.jpg,299,299,RGB,3,False,True
Benign,5493586e3c372006356c9c625e6b63d1_0.jpg,299,299,RGB,3,False,True
Benign,b117576c40dc2a9d3066f8c9ca44f290_0.jpg,299,299,RGB,3,False,True
Benign,74dd34f9962d0493767cb17d2c3bc4b2_0.jpg,299,299,RGB,3,False,True
Benign,4145f8eadee9fc62e2455920c498649d_0.jpg,299,299,RGB,3,False,True
Benign,5af5e0c18eeb1daf1a7dd846063b2029_0.jpg,299,299,RGB,3,False,True
Benign,f42fdaf69c4892bfad34030b2dfa06c6_1.jpg,299,299,RGB,3,False,True
