index,label,prediction,model_inference_us,kernel_us
0,0,0,1805.095,929.680
1,1,1,1877.501,1007.286
2,1,1,1568.104,934.535
3,1,0,1491.410,920.424
4,1,1,1479.545,926.006
5,1,1,1629.619,1039.803
6,1,1,1665.219,1061.760
7,1,1,1771.267,1143.963
8,1,1,1685.687,928.622
9,1,1,1513.311,929.650
10,1,1,1500.874,915.305
11,1,1,1521.637,929.969
12,1,1,1709.914,918.350
13,1,1,1537.797,915.526
14,1,1,1502.511,922.400
15,1,1,1767.779,927.729
16,1,1,1845.231,1055.865
17,1,1,1702.474,1082.996
18,1,1,1511.655,917.969
19,1,1,1570.092,957.255
20,1,1,1531.287,926.560
21,1,1,1506.203,915.415
22,1,1,1659.409,921.957
23,1,1,1658.215,926.880
24,1,1,1518.062,920.511
25,1,1,1508.080,914.505
26,1,1,1696.855,926.222
27,0,0,1861.773,1078.572
28,1,1,1658.147,1068.738
29,1,1,1702.560,939.766
30,1,1,1648.179,1053.256
31,1,1,1586.418,983.477
32,1,1,1651.292,927.760
33,1,1,1653.231,921.354
34,0,0,1517.194,916.547
35,1,1,1632.480,919.249
36,0,0,1648.627,925.895
37,1,1,1669.680,915.680
38,1,1,1657.273,918.973
39,1,1,1643.852,919.138
40,0,0,1653.741,923.452
41,1,1,1944.228,1294.375
42,1,1,1454.671,916.646
43,0,0,1488.572,918.252
44,1,1,1461.102,916.566
45,1,1,1429.495,913.040
46,1,1,1418.788,911.292
47,1,1,1418.135,910.055
48,1,1,1422.566,914.825
49,1,1,1419.889,913.083
50,1,1,1436.080,913.490
51,1,1,1425.391,912.646
52,1,1,1419.809,910.972
53,1,1,1417.748,912.941
54,1,1,1412.542,911.360
55,1,1,1416.892,910.745
56,1,1,1417.169,911.028
57,0,0,1437.366,915.982
58,1,1,1640.024,916.917
59,1,1,1533.299,927.397
60,1,1,1507.852,922.406
61,0,0,1506.172,922.185
62,1,1,1463.040,921.551
63,0,0,1494.720,920.314
64,1,1,1462.824,922.295
65,0,0,1435.772,915.741
66,1,1,1431.120,916.332
67,0,0,1419.015,909.520
68,1,1,1419.901,912.363
69,1,1,1423.145,914.690
70,1,1,1449.563,920.376
71,1,1,1435.428,912.720
72,1,1,1425.329,912.899
73,1,0,1428.203,915.741
74,1,1,1416.726,911.039
75,1,1,1416.646,909.409
76,0,0,1415.077,910.985
77,1,1,1438.708,907.699
78,1,1,1437.588,914.104
79,1,1,1426.456,912.135
80,0,0,1419.034,910.812
81,0,0,1422.135,913.293
82,1,1,1415.668,909.360
83,1,1,1417.907,913.298
84,1,1,1465.065,915.188
85,1,1,1449.070,923.637
86,0,1,1425.975,912.720
87,1,1,1421.846,909.828
88,1,0,1419.939,911.459
89,1,1,1418.253,910.295
90,1,1,1416.917,910.104
91,1,0,1437.304,907.176
92,1,1,1430.221,912.147
93,1,1,1422.259,909.133
94,1,1,1419.569,913.372
95,1,1,1418.535,913.803
96,1,1,1420.461,912.480
97,1,1,1416.166,910.252
98,1,1,1484.566,916.093
99,1,1,1427.348,910.000
100,1,1,1419.790,911.612
101,1,1,1417.976,910.437
102,1,1,1418.018,909.096
103,1,1,1419.292,912.733
104,1,0,1418.806,912.264
105,1,1,1468.788,911.348
106,1,0,1424.308,910.480
107,1,0,1418.873,911.576
108,1,1,1418.086,912.283
109,1,1,1414.474,909.625
110,0,0,1418.068,911.950
111,1,1,1455.631,908.775
112,1,1,1431.076,915.796
113,1,1,1420.345,911.015
114,1,1,1423.656,913.711
115,1,1,1414.449,910.203
116,1,1,1417.022,908.517
117,0,0,1414.025,908.154
118,1,1,1471.237,913.533
119,1,1,1432.068,915.785
120,1,1,1427.083,916.024
121,1,1,1424.098,913.034
122,1,1,1419.373,913.421
123,1,1,1413.896,908.351
124,0,0,1416.726,910.591
125,1,1,1429.267,915.422
126,1,1,1424.000,912.572
127,1,1,1422.289,911.729
128,1,1,1412.714,908.664
129,0,1,1420.338,913.982
130,0,0,1413.563,908.031
131,1,1,1422.117,916.499
132,1,1,1463.662,917.754
133,1,1,1442.443,912.055
134,0,0,1419.138,908.763
135,1,1,1424.136,912.733
136,1,1,1417.256,911.539
137,1,1,1419.145,912.049
138,0,0,1419.138,914.000
139,1,1,1446.381,921.489
140,0,0,1436.215,918.843
141,1,1,1418.012,908.387
142,1,1,1417.570,913.299
143,1,1,1425.053,917.661
144,1,1,1415.551,911.483
145,1,1,1424.111,919.963
146,1,1,1433.833,916.991
147,1,1,1429.261,913.471
148,1,1,1417.557,908.720
149,1,1,1419.157,912.203
