index,label,pass,prediction,read_decode,resize,normalize,patch,quantize,buffer_prep,kernel,readback,total_ms
0,0,1,0,12.298412,2.593600,0.551821,0.811619,0.665643,0.327292,0.974295,0.367945,18.732831
1,1,1,1,11.232671,2.704935,0.553514,0.802548,0.665053,0.325950,0.966726,0.372456,17.773120
2,1,1,1,10.608683,2.590880,0.549034,0.806013,0.790006,0.330696,0.978148,0.372141,17.182215
3,1,1,0,13.498271,2.585428,0.551883,0.809132,0.809261,0.332843,0.978400,0.369895,20.088098
4,1,1,1,10.491748,2.588855,0.546031,0.803508,0.663293,0.325877,0.976055,0.369766,16.917618
5,1,1,1,13.564757,2.589292,0.550412,0.808437,0.664517,0.328492,0.978222,0.369323,20.005692
6,1,1,1,13.474049,2.592061,0.547551,0.811840,0.668763,0.326430,0.978080,0.363440,19.914117
7,1,1,1,11.236499,2.590794,0.546856,0.796788,0.662030,0.331477,0.979846,0.370283,17.666849
8,1,1,1,13.511433,2.595052,0.549336,0.807927,0.667895,0.330578,0.973422,0.365366,19.947139
9,1,1,1,11.497514,2.693920,0.558954,0.814615,0.665267,0.328480,0.977963,0.369594,18.059415
10,1,1,1,11.106080,2.591883,0.553551,0.899421,0.677299,0.329729,0.977957,0.366314,17.652732
11,1,1,1,11.443526,2.588837,0.552382,0.798154,0.666628,0.332579,0.978560,0.384461,17.894536
12,1,1,1,11.251218,2.590800,0.545570,0.802074,0.664861,0.329403,0.974818,0.368640,17.680702
13,1,1,1,10.554387,2.718535,0.552800,0.795779,0.661735,0.331471,0.975773,0.370247,17.111982
14,1,1,1,11.614190,2.692781,0.556333,0.802499,0.667034,0.327127,0.974905,0.364505,18.151230
15,1,1,1,10.572474,2.592240,0.546265,0.798474,0.665169,0.328584,0.976240,0.395034,17.029963
16,1,1,1,10.413065,2.591859,0.545803,0.800886,0.668960,0.329766,0.974524,0.362855,16.840837
17,1,1,1,10.559483,2.688843,0.554892,0.805643,0.663267,0.326216,0.973957,0.368499,17.092370
18,1,1,1,11.535188,2.590757,0.549440,0.909096,0.672584,0.329742,0.974924,0.366572,18.076996
19,1,1,1,13.092696,2.592529,0.556966,0.912775,0.672523,0.328695,0.979667,0.368911,19.655575
20,1,1,1,10.507274,2.588357,0.551040,0.806259,0.673668,0.331582,0.976566,0.367994,16.953292
21,1,1,1,13.317490,2.591120,0.543612,0.807877,0.672646,0.332504,0.967347,0.371858,19.757133
22,1,1,1,11.161495,2.590000,0.552449,0.804049,0.668173,0.330572,0.977422,0.367920,17.603508
23,1,1,1,11.491834,2.728074,0.553470,0.804701,0.671077,0.332572,0.965594,0.368025,18.067791
24,1,1,1,11.142068,2.591311,0.656418,0.816283,0.675951,0.331397,0.973016,0.368191,17.711458
25,1,1,1,10.557052,2.591797,0.550788,0.810222,0.666560,0.334308,0.982941,0.401544,17.048560
26,1,1,1,10.572043,2.588972,0.551643,0.797471,0.668708,0.332584,0.980387,0.370363,17.014313
27,0,1,0,13.194148,2.594461,0.548487,0.802745,0.670209,0.331188,0.964480,0.367803,19.622806
28,1,1,1,10.610443,2.685188,0.554031,0.809200,0.668061,0.329698,0.977600,0.373951,17.159686
29,1,1,1,10.526130,2.592191,0.547022,0.803581,0.667354,0.412867,0.969600,0.377286,17.047612
30,1,1,1,12.529692,2.592148,0.546572,0.800474,0.667600,0.327372,0.980160,0.386504,18.983496
31,1,1,1,11.078505,2.588234,0.542960,0.794209,0.665293,0.329625,0.978234,0.369379,17.496295
32,1,1,1,13.458831,2.589883,0.547570,0.804037,0.669446,0.325335,0.974905,0.368265,19.891963
33,1,1,1,11.217274,2.706578,0.553859,0.803268,0.664043,0.330529,0.970437,0.368978,17.765391
34,0,1,0,13.092449,2.700111,0.551846,0.801416,0.676861,0.323508,0.976603,0.364265,19.640086
35,1,1,1,10.113378,2.595151,0.550621,0.801415,0.782443,0.334068,0.979828,0.374942,16.685932
36,0,1,0,13.520191,2.589784,0.551877,0.930714,0.683600,0.327348,0.973908,0.364720,20.097459
37,1,1,1,13.407581,2.589298,0.547452,0.905538,0.680394,0.330043,0.973433,0.369040,19.957446
38,1,1,1,10.586320,2.588012,0.549859,0.797545,0.663661,0.328523,0.961674,0.363847,16.991711
39,1,1,1,13.196505,2.591028,0.551299,0.800227,0.662517,0.332129,0.966880,0.369557,19.622007
40,0,1,0,13.640153,2.591908,0.552302,0.802130,0.668111,0.324364,0.972080,0.366203,20.068357
41,1,1,1,11.787890,2.598123,0.545569,0.801077,0.666954,0.330056,0.975108,0.368221,18.221514
42,1,1,1,10.591920,2.714757,0.556295,0.799237,0.667366,0.328474,0.975680,0.366074,17.153058
