index,label,pass,prediction,buffer_write,cache_flush,register_setup,fpga_kernel,output_readback,decoder_classifier,patch_embedding,weight_transfer,total_us
0,0,1,0,133.5510,283.7900,0.0000,943.0100,245.6190,218.7870,0.0000,0.0000,1824.7570
1,1,1,1,70.6220,193.6000,0.0000,924.9360,208.9600,147.6980,0.0000,0.0000,1545.8160
2,1,1,1,65.3170,175.0400,0.0000,910.7020,199.1130,139.8590,0.0000,0.0000,1490.0310
3,1,1,0,63.0280,166.6520,0.0000,911.3230,195.2680,138.5600,0.0000,0.0000,1474.8310
4,1,1,1,65.6190,163.4770,0.0000,907.3780,192.4920,215.3050,0.0000,0.0000,1544.2710
5,1,1,1,77.9820,190.0680,0.0000,922.6770,205.3350,145.9010,0.0000,0.0000,1541.9630
6,1,1,1,65.2680,171.7790,0.0000,918.2650,195.9750,138.9350,0.0000,0.0000,1490.2220
7,1,1,1,63.4160,168.8980,0.0000,908.8430,193.2990,135.7660,0.0000,0.0000,1470.2220
8,1,1,1,62.7010,166.5530,0.0000,907.2560,194.1350,135.2060,0.0000,0.0000,1465.8510
9,1,1,1,61.2370,166.3270,0.0000,913.7530,194.6650,134.5420,0.0000,0.0000,1470.5240
10,1,1,1,61.5630,163.8710,0.0000,912.9170,193.6800,134.0370,0.0000,0.0000,1466.0680
11,1,1,1,61.3730,165.1450,0.0000,919.1750,220.8860,148.0980,0.0000,0.0000,1514.6770
12,1,1,1,68.6900,173.2060,0.0000,921.0150,197.9080,137.7110,0.0000,0.0000,1498.5300
13,1,1,1,63.5390,169.7040,0.0000,911.4160,194.4310,136.5780,0.0000,0.0000,1475.6680
14,1,1,1,61.5010,165.3790,0.0000,908.0060,196.6840,135.3240,0.0000,0.0000,1466.8940
15,1,1,1,60.6460,164.7810,0.0000,916.3760,192.5970,135.6560,0.0000,0.0000,1470.0560
16,1,1,1,61.8950,165.5010,0.0000,913.3480,195.0650,136.1780,0.0000,0.0000,1471.9870
17,1,1,1,62.7750,164.3390,0.0000,912.3020,214.0180,142.8250,0.0000,0.0000,1496.2590
18,1,1,1,64.6340,170.6890,0.0000,919.8460,198.9660,137.4270,0.0000,0.0000,1491.5620
19,1,1,1,64.8180,168.7940,0.0000,914.4990,194.1170,137.9810,0.0000,0.0000,1480.2090
20,1,1,1,65.8090,166.3760,0.0000,909.8220,194.9600,136.7450,0.0000,0.0000,1473.7120
21,1,1,1,62.3630,164.7820,0.0000,912.4120,191.2430,135.0280,0.0000,0.0000,1465.8280
22,1,1,1,62.3390,163.8950,0.0000,923.9260,194.0430,134.8490,0.0000,0.0000,1479.0520
23,1,1,1,61.7230,165.0710,0.0000,909.5320,232.6460,141.5870,0.0000,0.0000,1510.5590
24,1,1,1,63.4890,172.9540,0.0000,911.0530,198.2830,137.6000,0.0000,0.0000,1483.3790
25,1,1,1,63.1940,166.9230,0.0000,909.6430,197.7600,135.8770,0.0000,0.0000,1473.3970
26,1,1,1,62.7570,164.0680,0.0000,908.9780,193.1450,136.1540,0.0000,0.0000,1465.1020
27,0,1,0,62.0310,164.1850,0.0000,910.9170,191.0590,136.3380,0.0000,0.0000,1464.5300
28,1,1,1,63.1270,165.1130,0.0000,910.8370,194.1420,135.4280,0.0000,0.0000,1468.6470
29,1,1,1,63.0960,162.1850,0.0000,912.6210,191.9140,134.2460,0.0000,0.0000,1464.0620
30,1,1,1,62.0430,162.9910,0.0000,914.3080,204.3820,139.1940,0.0000,0.0000,1482.9180
31,1,1,1,65.3230,168.6520,0.0000,911.6130,195.6370,135.3420,0.0000,0.0000,1476.5670
32,1,1,1,62.0310,165.7910,0.0000,924.0300,195.5390,135.5940,0.0000,0.0000,1482.9850
33,1,1,1,63.6370,163.5070,0.0000,911.4640,192.4740,135.2430,0.0000,0.0000,1466.3250
34,0,1,0,61.8950,163.7970,0.0000,910.5780,191.2800,133.8150,0.0000,0.0000,1461.3650
35,1,1,1,63.8960,164.4620,0.0000,909.2000,191.5510,136.9110,0.0000,0.0000,1466.0200
36,0,1,0,63.0030,163.0030,0.0000,908.6890,204.3870,136.4620,0.0000,0.0000,1475.5440
37,1,1,1,62.6280,167.1140,0.0000,913.6430,192.4610,135.9260,0.0000,0.0000,1471.7720
38,1,1,1,62.1050,165.8890,0.0000,911.3110,193.5200,136.1290,0.0000,0.0000,1468.9540
39,1,1,1,60.3070,164.4490,0.0000,907.9630,193.0280,136.1290,0.0000,0.0000,1461.8760
40,0,1,0,61.2610,165.3170,0.0000,907.3910,193.7110,135.0210,0.0000,0.0000,1462.7010
41,1,1,1,61.5200,164.5300,0.0000,911.1510,191.1010,136.7440,0.0000,0.0000,1465.0460
42,1,1,1,62.0120,163.2120,0.0000,914.6210,192.1350,174.2340,0.0000,0.0000,1506.2140
43,0,1,0,66.7020,167.9820,0.0000,910.9350,195.9500,136.7200,0.0000,0.0000,1478.2890
44,1,1,1,65.3480,166.0130,0.0000,908.5850,193.8890,135.7420,0.0000,0.0000,1469.5770
45,1,1,1,61.4640,167.5080,0.0000,911.8160,194.7760,133.9320,0.0000,0.0000,1469.4960
46,1,1,1,60.6580,163.3420,0.0000,908.1360,193.2920,134.4130,0.0000,0.0000,1459.8410
47,1,1,1,62.1970,165.0590,0.0000,913.9080,193.7350,135.2060,0.0000,0.0000,1470.1050
48,1,1,1,62.3820,163.2860,0.0000,913.5820,193.5260,135.8340,0.0000,0.0000,1468.6100
49,1,1,1,62.4550,164.9040,0.0000,918.0550,216.2520,147.7600,0.0000,0.0000,1509.4260
50,1,1,1,64.6650,176.4680,0.0000,915.7840,198.4310,138.0370,0.0000,0.0000,1493.3850
51,1,1,1,62.7880,166.5900,0.0000,912.2210,194.6160,137.7170,0.0000,0.0000,1473.9320
52,1,1,1,64.0560,164.5100,0.0000,908.0980,193.4470,133.6370,0.0000,0.0000,1463.7480
53,1,1,1,61.9450,165.3910,0.0000,908.7820,193.1010,133.3730,0.0000,0.0000,1462.5920
54,1,1,1,61.6990,164.4560,0.0000,909.3600,191.3850,136.1170,0.0000,0.0000,1463.0170
