index,label,pass,prediction,buffer_write,cache_flush,register_setup,fpga_kernel,output_readback,decoder_classifier,patch_embedding,weight_transfer,total_us
0,0,1,1,131.2670,279.5320,0.0000,993.3840,290.3820,357.8280,0.0000,0.0000,2052.3930
1,1,1,1,73.7110,201.8330,0.0000,984.2650,209.4840,152.8740,0.0000,0.0000,1622.1670
2,1,1,1,69.9450,177.3850,0.0000,970.4310,226.6650,153.7470,0.0000,0.0000,1598.1730
3,1,1,0,66.7880,177.2370,0.0000,974.7380,201.0150,141.7660,0.0000,0.0000,1561.5440
4,1,1,1,65.7170,170.2640,0.0000,977.5080,196.7080,138.1230,0.0000,0.0000,1548.3200
5,1,1,1,63.8950,165.9010,0.0000,967.4340,194.9660,135.5390,0.0000,0.0000,1527.7350
6,1,1,1,63.6490,165.8520,0.0000,975.6120,193.5750,136.7690,0.0000,0.0000,1535.4570
7,1,1,1,62.7450,165.2060,0.0000,972.2460,193.0580,136.8560,0.0000,0.0000,1530.1110
8,1,1,1,61.9070,165.3480,0.0000,967.2430,217.2800,147.0710,0.0000,0.0000,1558.8490
9,1,1,1,65.7790,174.9230,0.0000,976.5360,197.7230,138.2400,0.0000,0.0000,1553.2010
10,1,1,1,64.0180,167.9750,0.0000,977.1690,196.0120,138.5600,0.0000,0.0000,1543.7340
11,1,1,1,63.0090,168.0190,0.0000,973.7290,192.9110,134.6650,0.0000,0.0000,1532.3330
12,1,1,1,64.2220,165.9690,0.0000,973.3420,194.5050,134.9600,0.0000,0.0000,1532.9980
13,1,1,1,63.5260,166.5410,0.0000,972.4560,194.7940,135.9140,0.0000,0.0000,1533.2310
14,1,1,1,62.7760,165.7730,0.0000,1039.5870,218.4490,144.8190,0.0000,0.0000,1631.4040
15,1,1,1,66.5350,171.3230,0.0000,975.0640,198.2710,137.5440,0.0000,0.0000,1548.7370
16,1,1,1,64.0680,166.4680,0.0000,978.4310,195.9140,137.8960,0.0000,0.0000,1542.7770
17,1,1,1,63.3850,165.7730,0.0000,977.5010,196.5840,136.5300,0.0000,0.0000,1539.7730
18,1,1,1,62.8930,163.8900,0.0000,971.4580,194.9780,136.6890,0.0000,0.0000,1529.9080
19,1,1,1,63.6310,164.2460,0.0000,973.2130,194.9290,136.2090,0.0000,0.0000,1532.2280
20,1,1,1,62.5720,164.8680,0.0000,1027.2500,206.2460,139.5810,0.0000,0.0000,1600.5170
21,1,1,1,66.0000,169.1080,0.0000,977.7850,195.9320,134.9290,0.0000,0.0000,1543.7540
22,1,1,1,64.6650,166.1780,0.0000,973.7110,194.8990,138.1110,0.0000,0.0000,1537.5640
23,1,1,1,63.5140,167.3910,0.0000,968.8550,194.2770,135.8710,0.0000,0.0000,1529.9080
24,1,1,1,63.7600,164.5970,0.0000,975.5260,194.2710,136.5790,0.0000,0.0000,1534.7330
25,1,1,1,63.7040,167.2500,0.0000,972.4800,192.1360,135.9390,0.0000,0.0000,1531.5090
26,1,1,1,62.3640,164.4060,0.0000,975.1080,249.1570,140.3880,0.0000,0.0000,1591.4230
27,0,1,0,64.8070,172.1600,0.0000,966.5290,198.3390,139.2310,0.0000,0.0000,1541.0660
28,1,1,1,63.4400,165.9380,0.0000,973.7160,196.0550,135.7230,0.0000,0.0000,1534.8720
29,1,1,1,65.1200,164.7820,0.0000,975.4650,194.1420,135.2060,0.0000,0.0000,1534.7150
30,1,1,1,63.4090,165.3050,0.0000,971.1080,194.8990,133.4090,0.0000,0.0000,1528.1300
31,1,1,1,63.1450,165.0280,0.0000,976.3380,195.7040,135.5630,0.0000,0.0000,1535.7780
32,1,1,1,65.1690,163.7780,0.0000,975.7720,243.7170,141.2740,0.0000,0.0000,1589.7100
33,1,1,1,63.1140,171.5760,0.0000,980.3450,195.6060,140.0490,0.0000,0.0000,1550.6900
34,0,1,0,62.9910,167.5870,0.0000,979.0340,196.0490,137.3730,0.0000,0.0000,1543.0340
35,1,1,1,65.1630,168.0980,0.0000,973.1320,196.6960,137.0960,0.0000,0.0000,1540.1850
36,0,1,0,64.7690,166.6210,0.0000,965.6000,195.1570,134.6150,0.0000,0.0000,1526.7620
37,1,1,1,63.3720,164.9840,0.0000,973.8900,195.9200,134.2890,0.0000,0.0000,1532.4550
38,1,1,1,64.6520,163.5020,0.0000,978.2950,194.9230,176.9420,0.0000,0.0000,1578.3140
39,1,1,1,64.9170,171.8830,0.0000,976.6030,196.4560,135.9630,0.0000,0.0000,1545.8220
