index,label,pass,prediction,read_decode,resize,normalize,patch,quantize,buffer_prep,kernel,readback,total_ms
0,0,1,0,12.252222,2.580486,0.695988,0.817120,0.672252,0.324991,1.019508,0.357446,18.870985
1,1,1,1,11.249748,2.579710,0.550886,0.802653,0.662659,0.446812,1.030203,0.386973,17.864308
2,1,1,1,10.608234,2.581741,0.551176,0.794776,0.668111,0.321459,1.034627,0.362148,17.077065
3,1,1,0,13.571378,2.579126,0.557452,0.794584,0.672566,0.327065,1.021298,0.363243,20.041015
4,1,1,1,10.546831,2.693391,0.564947,0.797748,0.666124,0.326677,1.022044,0.363471,17.135292
5,1,1,1,13.549323,2.677526,0.556763,0.789311,0.667268,0.320806,1.029459,0.365631,20.110591
6,1,1,1,13.339483,2.677630,0.558154,0.796480,0.661698,0.328862,1.027440,0.365299,19.909477
7,1,1,1,11.210333,2.675453,0.563865,0.791723,0.662523,0.324775,1.019533,0.365120,17.763551
8,1,1,1,13.345994,2.673249,0.563797,0.796289,0.662160,0.326689,1.022904,0.362923,19.909988
9,1,1,1,11.551299,2.576055,0.561803,0.796713,0.778209,0.322240,1.026590,0.362745,18.130726
10,1,1,1,11.077095,2.579877,0.554252,0.801630,0.668904,0.324640,1.032166,0.364873,17.556025
11,1,1,1,11.475391,2.576264,0.553926,0.795926,0.667920,0.326461,1.036473,0.358997,17.942111
12,1,1,1,11.184473,2.698916,0.558240,0.794973,0.663840,0.325206,1.021194,0.367262,17.770947
13,1,1,1,10.589027,2.580215,0.562357,0.927619,0.678634,0.324985,1.024357,0.364517,17.204573
14,1,1,1,11.613022,2.580535,0.557550,0.798665,0.666369,0.324579,1.038997,0.397076,18.130314
15,1,1,1,10.597416,2.578572,0.554074,0.794474,0.669323,0.328591,1.021563,0.362043,17.055563
16,1,1,1,10.506627,2.688671,0.559176,0.802062,0.669120,0.323231,1.024123,0.363988,17.092880
17,1,1,1,10.666683,2.580726,0.560000,0.893009,0.674535,0.323249,1.022443,0.367286,17.244012
18,1,1,1,11.700616,2.582006,0.560572,0.797563,0.667674,0.321778,1.034911,0.378947,18.194966
19,1,1,1,13.057563,2.575477,0.551434,0.805101,0.666289,0.323711,1.038203,0.384665,19.554031
20,1,1,1,10.567083,2.584493,0.560498,0.801335,0.668591,0.322892,1.023046,0.365840,17.046818
21,1,1,1,13.408664,2.582320,0.556972,0.796566,0.667237,0.323157,1.026179,0.367957,19.881120
22,1,1,1,11.072991,2.681046,0.561194,0.796572,0.671914,0.321828,1.026498,0.363594,17.648966
23,1,1,1,11.559705,2.575625,0.704720,0.805674,0.672431,0.323163,1.020467,0.365883,18.182702
24,1,1,1,11.218708,2.582837,0.556000,0.797544,0.666634,0.329255,1.032178,0.398732,17.737299
25,1,1,1,10.582566,2.579163,0.556271,0.793138,0.667126,0.324443,1.019483,0.362757,17.033988
26,1,1,1,10.635397,2.683157,0.563791,0.799490,0.664984,0.324880,1.018886,0.366548,17.212277
27,0,1,0,13.373797,2.682178,0.561852,0.798671,0.667987,0.326887,1.021126,0.366314,19.950782
28,1,1,1,10.606609,2.581834,0.564227,0.901237,0.675539,0.326357,1.021366,0.365040,17.199120
29,1,1,1,10.509354,2.580068,0.559957,0.792314,0.666222,0.326375,1.032843,0.454702,17.073070
30,1,1,1,12.572714,2.576050,0.557674,0.799053,0.663692,0.328738,1.025588,0.368646,19.047526
31,1,1,1,11.205495,2.581058,0.554117,0.796135,0.667471,0.325668,1.025680,0.366893,17.672806
32,1,1,1,13.444615,2.587169,0.556474,0.798148,0.673908,0.324461,1.024523,0.363563,19.923773
33,1,1,1,11.288836,2.703698,0.563483,0.792948,0.666068,0.321470,1.022978,0.362129,17.877630
34,0,1,0,13.088628,2.699859,0.561372,0.798351,0.674215,0.319907,1.022609,0.365502,19.687311
35,1,1,1,10.145637,2.580948,0.556345,0.800726,0.663046,0.326086,1.026720,0.394948,16.646616
36,0,1,0,13.546726,2.586455,0.562080,0.800634,0.671083,0.448800,1.028978,0.395255,20.194628
37,1,1,1,13.405164,2.580400,0.558209,0.801077,0.664510,0.427379,1.027016,0.381538,20.000295
38,1,1,1,10.586874,2.582775,0.556160,0.798541,0.670363,0.327532,1.021828,0.370216,17.068098
39,1,1,1,13.206800,2.583341,0.561551,0.800351,0.672671,0.328880,1.023501,0.365557,19.699108
40,0,1,0,13.711095,2.586369,0.555532,0.799176,0.670111,0.325470,1.019169,0.365895,20.186387
41,1,1,1,12.075021,2.581058,0.548086,0.793483,0.663902,0.318665,1.021089,0.364498,18.513163
42,1,1,1,10.640714,2.703170,0.556246,0.801403,0.671550,0.324123,1.034530,0.364240,17.254714
43,0,1,0,13.368738,2.684554,0.559403,0.804572,0.669427,0.322671,1.020769,0.365920,19.950585
44,1,1,1,13.431250,2.681114,0.556633,0.800572,0.672184,0.326474,1.018228,0.365175,20.008455
45,1,1,1,13.336043,2.678295,0.559052,0.795834,0.664259,0.324584,1.022707,0.365625,19.898314
46,1,1,1,9.256056,2.581532,0.558941,0.803391,0.669378,0.321120,1.024160,0.390837,15.759175
47,1,1,1,10.546579,2.584899,0.558935,0.802473,0.665496,0.323736,1.024960,0.365010,17.022216
48,1,1,1,10.494320,2.684222,0.567772,0.796523,0.666739,0.322160,1.021969,0.364068,17.072677
49,1,1,1,13.325187,2.700437,0.566092,0.796849,0.670646,0.324874,1.023108,0.365612,19.924338
50,1,1,1,10.614117,2.580911,0.560394,0.798886,0.797662,0.330382,1.023686,0.372062,17.237304
51,1,1,1,13.349957,2.582092,0.562092,0.802947,0.783255,0.328812,1.023926,0.365938,19.955212
52,1,1,1,11.081754,2.584954,0.559594,0.801539,0.670437,0.324849,1.020886,0.366215,17.566856
53,1,1,1,13.232492,2.577877,0.554954,0.800462,0.668400,0.325643,1.031033,0.363200,19.704529
54,1,1,1,13.520141,2.584462,0.552770,0.795588,0.674862,0.325581,1.026430,0.361028,19.993501
55,1,1,1,13.479354,2.587575,0.562658,0.801969,0.674615,0.324523,1.020603,0.368129,19.971255
56,1,1,1,13.311539,2.582320,0.551348,0.796905,0.670542,0.323581,1.022757,0.367120,19.780825
57,0,1,0,13.373754,2.579570,0.552788,0.795286,0.666166,0.326936,1.023219,0.363520,19.832049
58,1,1,1,11.699329,2.583071,0.555120,0.797865,0.667188,0.324307,1.020566,0.368960,18.170117
59,1,1,1,13.499089,2.581046,0.557643,0.798757,0.668412,0.321280,1.030935,0.365440,19.976332
60,1,1,1,10.499311,2.681145,0.566129,0.799034,0.669458,0.325219,1.025274,0.368240,17.089353
61,0,1,0,13.611243,2.674757,0.562044,0.798769,0.668708,0.327015,1.023249,0.365631,20.187526
62,1,1,1,13.409649,2.682406,0.555803,0.794788,0.667127,0.322456,1.027717,0.364720,19.981021
63,0,1,0,13.642302,2.679717,0.560585,0.799883,0.670640,0.323280,1.020012,0.368222,20.218221
64,1,1,1,13.308972,2.678135,0.560062,0.798843,0.668701,0.329557,1.024480,0.364031,19.887090
65,0,1,0,13.623219,2.682899,0.565495,0.799742,0.669496,0.327261,1.022930,0.366301,20.209317
66,1,1,1,11.397951,2.583539,0.655342,0.801920,0.668320,0.319495,1.020517,0.365169,17.966701
67,0,1,0,13.571754,2.580246,0.651858,0.796578,0.671994,0.326062,1.019120,0.365212,20.133939
68,1,1,1,11.597545,2.582431,0.559280,0.792941,0.763920,0.326529,1.022173,0.372246,18.171582
69,1,1,1,11.160049,2.580855,0.557957,0.797508,0.668345,0.325015,1.028086,0.368437,17.639403
70,1,1,1,13.404480,2.590387,0.554129,0.803741,0.675046,0.325920,1.024056,0.367335,19.896726
