index,label,prediction,e2e_us,kernel_us
0,0,0,18398.074,953.101
1,1,1,17889.538,936.997
2,1,1,17476.462,943.095
3,1,0,20346.080,941.643
4,1,1,17353.914,938.899
5,1,1,20448.185,941.009
6,1,1,20426.910,939.870
7,1,1,17915.415,941.821
8,1,1,20220.800,938.702
9,1,1,18467.009,942.424
10,1,1,17763.797,935.680
11,1,1,18275.384,939.520
12,1,1,17968.972,935.594
13,1,1,17440.874,941.569
14,1,1,18479.496,938.240
15,1,1,17278.104,940.813
16,1,1,17326.473,938.320
17,1,1,17449.631,941.773
18,1,1,18346.142,939.594
19,1,1,19945.550,942.517
20,1,1,17387.538,940.215
21,1,1,27104.129,946.062
22,1,1,24239.619,960.093
23,1,1,24528.807,942.776
24,1,1,24313.446,940.080
25,1,1,23405.495,940.855
26,1,1,23403.237,938.935
27,0,0,26926.585,939.588
28,1,1,23222.468,937.908
29,1,1,23201.341,952.130
30,1,1,25920.338,938.505
31,1,1,23797.416,940.191
32,1,1,27047.864,939.945
33,1,1,24289.440,941.133
34,0,0,26827.157,943.539
35,1,1,22817.495,946.375
36,0,0,27692.948,942.111
37,1,1,27270.984,942.579
38,1,1,23357.200,944.351
39,1,1,26612.006,942.117
40,0,0,27576.979,937.040
41,1,1,24779.010,938.800
42,1,1,23714.492,937.452
43,0,0,27141.009,942.585
44,1,1,27061.932,943.348
45,1,1,27041.594,940.603
46,1,1,20648.449,940.837
47,1,1,23072.996,934.406
48,1,1,22971.742,945.575
49,1,1,26904.622,942.129
50,1,1,23405.785,941.630
51,1,1,27214.634,937.662
52,1,1,24115.317,940.585
53,1,1,26967.434,935.920
54,1,1,27348.339,943.113
55,1,1,27096.732,944.363
56,1,1,26897.649,945.859
57,0,0,26722.849,938.210
58,1,1,24737.138,938.308
59,1,1,27088.270,943.409
60,1,1,23234.615,935.852
61,0,0,27929.556,948.990
62,1,1,32124.030,941.649
63,0,0,36552.733,951.176
64,1,1,27742.880,954.708
65,0,0,40248.720,956.597
66,1,1,25227.864,944.357
67,0,0,32527.809,957.483
68,1,1,27112.363,960.652
69,1,1,27864.019,969.871
70,1,1,27161.459,934.037
71,1,1,26801.348,936.283
72,1,1,23768.806,941.649
73,1,0,26799.188,938.536
74,1,1,22838.862,937.428
75,1,1,26568.609,940.259
76,0,0,27188.308,938.141
77,1,1,23004.166,934.769
78,1,1,22566.856,939.982
79,1,1,22769.741,938.167
80,0,0,26497.415,937.317
81,0,0,27277.716,934.049
82,1,1,24785.298,1051.151
83,1,1,22944.573,937.785
84,1,1,22893.169,936.425
85,1,1,26724.510,936.061
86,0,1,24805.095,936.714
87,1,1,26748.055,986.850
88,1,0,56980.037,1008.633
89,1,1,31160.824,938.517
90,1,1,42036.203,940.997
91,1,0,56168.806,1016.216
92,1,1,98037.372,935.341
93,1,1,26790.812,936.517
94,1,1,23807.336,939.028
95,1,1,23960.289,936.455
96,1,1,27469.231,939.748
97,1,1,22560.621,935.674
98,1,1,26949.970,1055.138
99,1,1,26652.400,938.591
100,1,1,23669.169,939.477
101,1,1,26481.286,943.107
102,1,1,23016.585,955.157
103,1,1,24395.576,939.649
104,1,0,27206.824,936.917
105,1,1,26491.613,941.311
106,1,0,27233.317,937.225
107,1,0,27255.120,936.621
108,1,1,24292.517,935.914
109,1,1,24244.290,939.150
110,0,0,27488.369,938.622
111,1,1,22920.535,931.736
112,1,1,25749.440,935.785
113,1,1,24191.496,939.342
114,1,1,22797.489,936.572
115,1,1,22750.074,937.151
116,1,1,22903.988,940.505
117,0,0,27134.640,937.077
118,1,1,23881.914,938.363
119,1,1,24730.997,940.720
120,1,1,26153.883,938.055
121,1,1,22746.714,938.277
122,1,1,23709.754,934.486
123,1,1,26499.279,936.714
124,0,0,26744.702,932.702
125,1,1,22999.766,936.763
126,1,1,22665.698,933.341
127,1,1,26827.071,943.262
128,1,1,20417.803,938.807
129,0,1,25556.732,941.040
130,0,0,27129.778,936.893
131,1,1,24265.384,938.787
132,1,1,26724.498,939.397
133,1,1,27014.665,937.501
134,0,0,29068.855,958.136
135,1,1,28692.585,965.532
136,1,1,27176.462,936.462
137,1,1,22585.993,934.332
138,0,0,26802.474,935.754
139,1,1,23897.027,936.991
140,0,0,27298.462,935.403
141,1,1,26556.258,941.126
142,1,1,22916.203,936.295
143,1,1,24222.738,935.797
144,1,1,19413.742,937.692
145,1,1,26404.547,937.157
146,1,1,26625.150,939.532
