index,label,prediction,e2e_us,kernel_us
0,0,0,17958.129,1028.381
1,1,1,17594.966,1030.659
2,1,1,16977.538,1027.267
3,1,0,19927.003,1029.452
4,1,1,16895.471,1028.824
5,1,1,19952.806,1039.526
6,1,1,19721.538,1024.979
7,1,1,17459.009,1031.895
8,1,1,19874.997,1027.945
9,1,1,18023.416,1027.649
10,1,1,17544.295,1030.382
11,1,1,18052.486,1035.840
12,1,1,17590.714,1026.628
13,1,1,17080.757,1027.705
14,1,1,18085.563,1026.301
15,1,1,17102.394,1024.450
16,1,1,16815.550,1030.240
17,1,1,17064.332,1031.015
18,1,1,18004.947,1025.742
19,1,1,19517.539,1030.486
20,1,1,16940.117,1025.360
21,1,1,19788.295,1048.314
22,1,1,17394.406,1028.880
23,1,1,18023.957,1030.781
24,1,1,17720.560,1028.868
25,1,1,17023.797,1039.200
26,1,1,16937.662,1027.256
27,0,0,19536.523,1028.382
28,1,1,17101.391,1030.240
29,1,1,17117.034,1033.747
30,1,1,18998.191,1025.704
31,1,1,17448.948,1031.200
32,1,1,19840.622,1031.138
33,1,1,17711.378,1029.310
34,0,0,19612.498,1032.462
35,1,1,16659.354,1027.779
36,0,0,20096.812,1029.390
37,1,1,19921.440,1030.670
38,1,1,16979.028,1031.975
39,1,1,19586.455,1033.576
40,0,0,19964.043,1027.132
41,1,1,18169.914,1031.736
42,1,1,17065.169,1027.150
43,0,0,19797.397,1029.040
44,1,1,19909.163,1032.554
45,1,1,19792.425,1024.554
46,1,1,15648.437,1028.591
47,1,1,17146.222,1029.687
48,1,1,16950.449,1032.640
49,1,1,19841.150,1030.135
50,1,1,17040.960,1028.197
51,1,1,19766.733,1038.381
52,1,1,17418.646,1028.382
53,1,1,19596.382,1028.659
54,1,1,19915.785,1030.031
55,1,1,19916.216,1025.594
56,1,1,19701.532,1030.197
57,0,0,19699.157,1030.258
58,1,1,18105.120,1032.326
59,1,1,19855.785,1035.570
60,1,1,17021.145,1032.345
61,0,0,20106.504,1025.452
62,1,1,19923.083,1029.323
63,0,0,20224.394,1030.412
64,1,1,19869.513,1031.003
65,0,0,20146.572,1028.529
66,1,1,17802.135,1029.680
67,0,0,19984.289,1040.117
68,1,1,17880.283,1030.849
69,1,1,17522.979,1027.144
70,1,1,19820.887,1029.028
71,1,1,19764.252,1027.274
72,1,1,17806.862,1031.280
73,1,0,19935.938,1027.582
74,1,1,17045.261,1028.413
75,1,1,19744.677,1032.616
76,0,0,19884.566,1027.157
77,1,1,16939.625,1029.040
78,1,1,16957.606,1030.843
79,1,1,17090.960,1029.317
80,0,0,19828.252,1033.077
81,0,0,20125.625,1029.582
82,1,1,18463.791,1121.095
83,1,1,16879.643,1028.462
84,1,1,17015.773,1028.259
85,1,1,19887.101,1026.813
86,0,1,18450.997,1031.274
87,1,1,25076.560,1030.954
88,1,0,26885.624,1031.182
89,1,1,15919.169,1034.197
90,1,1,20016.092,1029.710
91,1,0,20004.179,1037.341
92,1,1,20147.187,1031.126
93,1,1,20000.148,1038.277
94,1,1,17779.840,1028.960
95,1,1,18111.138,1030.837
96,1,1,19985.348,1025.705
97,1,1,17052.898,1030.499
98,1,1,19855.809,1031.139
99,1,1,19858.739,1028.080
100,1,1,17590.579,1031.994
101,1,1,19979.452,1028.049
102,1,1,16885.390,1028.972
103,1,1,17731.760,1031.083
104,1,0,20064.627,1025.453
105,1,1,19713.163,1031.065
106,1,0,20100.135,1030.018
107,1,0,19991.212,1026.966
108,1,1,18064.825,1026.228
109,1,1,18064.215,1026.948
110,0,0,20291.698,1027.452
111,1,1,17132.179,1120.978
112,1,1,19031.483,1027.267
113,1,1,17852.960,1031.692
114,1,1,17014.511,1023.304
115,1,1,17079.987,1031.729
116,1,1,16906.862,1033.003
117,0,0,20072.554,1030.080
118,1,1,17743.403,1030.080
119,1,1,18449.975,1031.059
120,1,1,19399.047,1027.686
121,1,1,17106.295,1035.163
122,1,1,17595.514,1032.455
123,1,1,19757.742,1028.671
124,0,0,19814.738,1028.665
125,1,1,17060.436,1028.382
126,1,1,17137.483,1028.393
127,1,1,19885.391,1029.945
128,1,1,15590.486,1030.775
129,0,1,18824.708,1029.994
130,0,0,20071.865,1027.594
131,1,1,17994.190,1029.132
132,1,1,19902.006,1030.634
133,1,1,19969.969,1027.926
134,0,0,20081.976,1029.064
135,1,1,19870.942,1027.969
136,1,1,19726.991,1025.089
137,1,1,17032.166,1029.157
138,0,0,19908.338,1027.557
139,1,1,17711.766,1052.055
140,0,0,20000.947,1043.353
141,1,1,19718.936,1026.941
142,1,1,16913.385,1031.840
143,1,1,17881.514,1031.501
144,1,1,15205.533,1044.271
145,1,1,19752.843,1034.443
146,1,1,19891.976,1031.083
147,1,1,19778.006,1026.363
148,1,1,16882.763,1027.317
149,1,1,17042.788,1026.837
150,1,1,19824.240,1029.507
151,1,1,19906.510,1024.867
152,1,1,18585.901,1025.969
153,1,1,16989.496,1032.234
154,1,1,17800.806,1031.163
155,1,1,17073.410,1028.000
156,1,1,20043.293,1029.224
157,1,1,19835.748,1027.391
158,0,0,20075.963,1027.901
159,1,1,17501.520,1029.723
160,1,1,18106.443,1028.111
161,1,0,18912.364,1029.120
162,1,1,16992.185,1029.742
163,1,1,17047.040,1030.135
164,0,0,20108.037,1029.569
165,0,0,19849.354,1028.923
166,1,1,17015.791,1028.320
167,0,0,20592.744,1029.016
168,1,1,19803.661,1039.132
169,0,0,19777.822,1039.945
170,0,1,19818.732,1032.880
171,1,1,17932.499,1030.634
172,1,1,17018.701,1029.710
173,1,1,16979.175,1026.794
174,1,1,17528.185,1046.628
175,1,1,16839.766,1032.197
176,0,0,19992.548,1025.163
177,1,1,17052.154,1025.330
178,1,1,18110.511,1028.794
179,1,1,19903.372,1028.344
180,1,1,19079.981,1036.880
181,1,1,19174.031,1042.006
182,1,1,16885.102,1027.514
183,1,1,17138.917,1027.187
184,1,1,17046.074,1025.606
185,1,1,17515.538,1024.793
186,1,1,19674.911,1024.905
187,0,1,19593.513,1025.403
188,1,1,16920.597,1037.963
189,1,1,19847.902,1027.483
190,0,0,20184.997,1024.456
191,1,1,17791.446,1025.994
192,1,1,19099.163,1024.590
193,1,1,17750.782,1027.588
194,1,1,17684.855,1028.320
195,1,1,17001.773,1023.735
196,0,0,19942.886,1025.391
197,1,1,17117.864,1024.277
198,1,1,17060.098,1022.437
199,1,1,19553.434,1039.342
200,0,0,20056.720,1027.397
201,1,1,17546.117,1035.852
202,1,1,19882.695,1022.621
203,1,1,19790.419,1028.209
204,1,1,16941.391,1037.335
205,1,1,18104.948,1026.683
206,1,1,18106.973,1104.911
207,1,1,17899.569,1028.905
208,1,1,20024.019,1026.720
209,0,0,20156.609,1026.099
210,1,1,19828.646,1025.600
211,1,1,19682.012,1026.382
212,1,1,18013.988,1038.948
213,0,0,20008.067,1021.957
214,1,1,18058.172,1041.243
215,0,0,19827.489,1023.458
216,1,1,19939.046,1026.948
217,1,1,17484.172,1026.080
218,0,0,17704.547,1038.345
219,1,1,20629.693,1038.080
220,1,1,16955.348,1026.677
221,1,1,18078.670,1026.246
222,1,1,17125.625,1037.305
223,1,1,16983.920,1028.744
224,0,0,19718.129,1026.093
225,1,1,18067.945,1026.689
226,0,0,19957.453,1025.810
227,1,1,19432.633,1023.822
228,1,1,17029.353,1036.665
229,1,1,17620.978,1038.339
230,1,1,19679.631,1027.741
231,1,1,16934.105,1024.375
232,1,1,16993.747,1023.403
233,1,1,17037.526,1023.132
234,1,0,19593.834,1023.950
235,1,1,19748.523,1026.566
236,1,1,20011.305,1026.449
237,1,1,19343.711,1026.880
238,1,1,16867.495,1040.190
239,1,1,19594.025,1038.209
240,1,1,17536.357,1024.375
241,1,1,17110.419,1025.736
242,1,1,19903.354,1023.391
243,1,1,17275.612,1028.498
244,1,1,17928.332,1025.053
245,1,1,19778.498,1023.877
246,1,1,16934.763,1026.591
247,0,0,19835.772,1026.819
248,1,1,15676.750,1043.723
249,1,1,16872.049,1022.750
250,1,1,18492.701,1023.040
251,1,1,16983.945,1029.102
252,1,1,17079.938,1022.603
253,1,1,19614.449,1029.299
254,1,1,18412.190,1023.335
255,1,1,17946.794,1037.544
256,1,1,18732.899,1027.077
257,1,1,19751.717,1025.304
258,1,1,17103.926,1028.997
259,0,0,20133.692,1025.169
260,0,0,20099.575,1025.416
261,1,1,19926.104,1023.822
262,1,1,16944.676,1026.646
263,1,1,17021.323,1037.520
264,1,1,16996.492,1025.440
265,1,1,16988.930,1035.027
266,1,1,19801.052,1037.736
267,1,1,16949.840,1027.058
268,1,1,17751.102,1025.563
269,1,1,17204.899,1028.006
270,1,1,16901.459,1024.284
271,1,0,20813.859,1024.898
272,1,1,16940.720,1025.939
273,1,1,18250.997,1025.544
274,1,1,19718.283,1022.013
275,0,0,20333.336,1040.609
276,1,1,19883.397,1039.545
277,1,1,19890.074,1024.929
278,0,0,20044.283,1021.920
279,1,1,15766.388,1042.664
280,1,0,19975.748,1025.286
281,1,1,16973.754,1027.766
282,1,1,16922.425,1023.748
283,1,1,17548.911,1039.077
284,1,1,17454.720,1028.621
285,1,1,19865.317,1030.911
286,1,1,17922.646,1027.145
287,1,1,17152.597,1026.172
