index,label,prediction,model_inference_us,kernel_us
0,0,0,1654.517,961.975
1,1,1,1549.095,958.419
2,1,1,1517.914,953.292
3,1,0,1503.292,951.255
4,1,1,1602.160,950.886
5,1,1,1539.219,956.185
6,1,1,1516.357,960.837
7,1,1,1499.132,952.271
8,1,1,1508.190,964.080
9,1,1,1499.613,959.674
10,1,1,1487.378,946.855
11,1,1,1524.062,947.945
12,1,1,1513.858,950.505
13,1,1,1490.412,947.385
14,1,1,1491.465,948.658
15,1,1,1490.917,949.471
16,1,1,1484.093,948.264
17,1,1,1560.185,947.261
18,1,1,1507.766,949.133
19,1,1,1498.967,951.686
20,1,1,1506.677,963.434
21,1,1,1488.517,949.446
22,1,1,1493.280,948.419
23,1,1,1489.803,950.031
24,1,1,1507.809,952.283
25,1,1,1498.578,950.209
26,1,1,1505.169,963.188
27,0,0,1488.295,946.166
28,1,1,1488.160,950.978
29,1,1,1489.354,950.425
30,1,1,1500.929,963.354
31,1,1,1519.249,951.828
32,1,1,1505.957,961.643
33,1,1,1487.415,949.379
34,0,0,1499.748,961.212
35,1,1,1488.301,947.557
36,0,0,1489.200,947.465
37,1,1,1510.523,954.911
38,1,1,1509.102,963.138
39,1,1,1494.486,952.265
40,0,0,1493.403,948.320
41,1,1,1488.548,947.741
42,1,1,1492.209,951.471
43,0,0,1489.883,950.480
44,1,1,1601.231,956.990
45,1,1,1508.302,949.742
46,1,1,1496.295,948.751
47,1,1,1494.757,951.539
48,1,1,1489.089,948.123
49,1,1,1489.329,948.327
50,1,1,1507.563,952.738
51,1,1,1495.483,950.394
52,1,1,1492.209,948.271
53,1,1,1489.477,950.591
54,1,1,1499.335,959.427
55,1,1,1502.068,961.471
56,1,1,1490.314,950.615
57,0,0,1514.880,958.111
58,1,1,1499.403,948.024
59,1,1,1503.865,959.625
60,1,1,1487.698,947.348
61,0,0,1498.763,961.163
62,1,1,1485.015,946.425
63,0,0,1529.606,974.905
64,1,1,1494.271,951.680
65,0,0,1505.545,962.517
66,1,1,1491.483,951.273
67,0,0,1499.059,960.123
68,1,1,1489.274,951.913
69,1,1,1490.185,948.350
70,1,1,1502.554,951.458
71,1,1,1493.348,946.677
72,1,1,1499.428,961.434
73,1,0,1504.099,962.505
74,1,1,1484.560,949.163
75,1,1,1489.975,949.594
76,0,0,1549.059,960.763
77,1,1,1505.465,948.234
78,1,1,1498.221,951.619
79,1,1,1492.591,947.360
80,0,0,1491.384,951.785
81,0,0,1504.560,961.452
82,1,1,1490.000,948.621
83,1,1,1497.090,947.594
84,1,1,1496.572,949.618
85,1,1,1505.317,963.704
86,0,1,1485.360,948.191
87,1,1,1491.151,949.741
88,1,0,1501.711,962.221
89,1,1,1486.468,949.907
90,1,1,1577.767,959.877
91,1,0,1503.483,947.538
92,1,1,1498.191,953.335
93,1,1,1496.579,951.114
94,1,1,1503.588,961.895
95,1,1,1508.412,961.896
96,1,1,1517.280,956.948
97,1,1,1504.265,950.732
98,1,1,1508.763,963.274
99,1,1,1487.261,945.938
100,1,1,1492.381,950.578
101,1,1,1486.160,946.972
102,1,1,1487.090,947.065
103,1,1,1549.693,949.231
104,1,0,1506.400,960.813
105,1,1,1492.234,951.287
106,1,0,1491.871,948.972
107,1,0,1488.671,948.646
108,1,1,1486.991,948.172
109,1,1,1510.806,954.579
110,0,0,1498.726,950.591
111,1,1,1490.978,950.505
112,1,1,1495.508,954.824
113,1,1,1490.104,952.277
114,1,1,1498.929,958.942
115,1,1,1489.237,949.397
116,1,1,1500.935,948.511
117,0,0,1495.212,948.307
118,1,1,1489.902,949.237
119,1,1,1491.772,948.923
120,1,1,1498.996,960.382
121,1,1,1489.342,947.705
122,1,1,1544.129,950.911
123,1,1,1510.659,962.461
124,0,0,1490.382,946.240
125,1,1,1488.997,947.804
126,1,1,1497.649,962.185
127,1,1,1490.744,947.575
128,1,1,1498.284,961.206
129,0,1,1515.354,963.723
130,0,0,1491.206,950.449
131,1,1,1503.582,961.120
132,1,1,1488.449,948.763
133,1,1,1501.249,957.760
134,0,0,1504.714,963.305
135,1,1,1549.582,949.027
136,1,1,1500.166,949.317
137,1,1,1491.637,950.757
138,0,0,1487.187,948.781
139,1,1,1500.400,961.138
140,0,0,1501.262,963.065
141,1,1,1492.979,949.939
142,1,1,1508.067,952.880
143,1,1,1498.252,948.474
144,1,1,1499.274,959.084
145,1,1,1495.754,951.391
